HOUSEID,FSA,PT,YearBuilt,FloorArea,BldgType,Storeys,FoundationType,Pre_Date,Post_Date,Pre_TotalEnergy,Post_TotalEnergy,Pre_HeatEnergy,Post_HeatEnergy,Pre_Electricity,Post_Electricity,Pre_NaturalGas,Post_NaturalGas,Pre_Oil,Post_Oil,Pre_Propane,Post_Propane,Pre_Wood,Post_Wood,Pre_AirLeakage,Post_AirLeakage,Pre_RoofInsulation,Post_RoofInsulation,Pre_WallInsulation,Post_WallInsulation,Pre_FoundationInsulation,Post_FoundationInsulation,Pre_FloorInsulation,Post_FloorInsulation,Pre_WindowCode,Post_WindowCode,Pre_HeatFuel,Post_HeatFuel,Pre_HeatType,Post_HeatType,Pre_HeatAFUE,Post_HeatAFUE,Pre_HeatSeasonalCOP,Post_HeatSeasonalCOP,Pre_HPType,Post_HPType,Pre_HPCOP,Post_HPCOP,Wall_Insulation_Upgrade,Roof_Insulation_Upgrade,Foundation_Insulation_Upgrade,Floor_Insulation_Upgrade,Windows_Change,Air_Tightness_Upgrade,Heating_Change,Cooling_Change,HeatPump_Addition,Shallow_Retrofit,Medium_Retrofit,Deep_Retrofit,EnergySavingPct,HeatEnergySavingPct,FuelSwitch
281681.0,C1A,PE,1860,196.7,Single detached,Two storeys,B1,2007-02-01,2007-10-01,131440.11,49219.95,109475.46,34713.31,10447.8,49219.5,0.0,0.0,115325.28,0.0,0.0,0.0,0.0,0.0,25.01,9.4407,0.27,4.54,0.86,1.22,0.03,0.03,0.0,0.0,200002,200002,Oil,Electricity,Boiler  with flame retention head,Baseboard/Hydronic/Plenum(duct) htrs.,0.0,0.0,79.8,100.0,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,False,False,False,True,True,False,False,False,False,True,0.63,0.68,True
303724.0,C0B,PE,1994,238.9,Single detached,One storey,,2007-07-01,2007-12-01,52478.64,26113.18,34548.33,10651.59,9516.9,26113.0,0.0,0.0,40949.94,0.0,0.0,0.0,0.0,0.0,4.34,3.88,7.41,7.41,1.97,1.97,0.0,0.0,0.0,0.0,200014,200014,Oil,Electricity,Boiler  with flame retention head,Forced air furnace,0.0,100.0,78.1,232.8,N/A {no Heat Pump},Ground,0.0,3.0,False,False,False,False,False,True,True,False,True,False,False,True,0.5,0.69,True
335337.0,C0B,PE,1970,163.4,Single detached,One storey,B1,2007-11-01,2008-10-01,45506.34,21534.48,27590.5,6004.69,9293.3,21337.4,0.0,0.0,34516.8,187.68,0.0,0.0,0.0,0.0,4.32,3.5126,3.45,3.45,1.89,1.89,0.26,0.26,0.0,0.0,200004,200004,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,79.9,320.0,N/A {no Heat Pump},Water,0.0,4.23,False,False,False,False,False,True,False,False,True,False,False,True,0.53,0.78,False
345383.0,C0A,PE,1820,267.2,Single detached,Two storeys,B1,2007-12-01,2008-06-01,64172.93,25674.71,49371.84,10625.11,14801.0,25674.5,0.0,0.0,47059.74,0.0,0.0,0.0,0.0,0.0,9.05,9.1557,1.87,4.9,3.32,3.32,0.05,0.05,0.0,0.0,200002,200002,Oil,Electricity,Furnace with flame retention head,Forced air furnace,0.0,0.0,80.4,321.2,N/A {no Heat Pump},Water,0.0,4.0,False,True,False,False,False,False,True,True,True,False,False,True,0.6,0.78,True
289074.0,C1B,PE,1986,162.9,Single detached,One storey,B1;B2;B3,2007-05-01,2007-12-01,39266.7,24026.64,21517.2,6575.16,9155.1,15365.4,0.0,0.0,28700.76,8255.88,0.0,0.0,0.0,0.0,6.0196,5.94,6.43,6.43,1.36,1.36,0.54,1.37,0.0,0.0,200212,200212,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,80.1,235.1,N/A {no Heat Pump},Water,0.0,3.0,False,False,True,False,False,False,False,False,True,False,True,False,0.39,0.69,False
289311.0,C1E,PE,1975,381.6,Single detached,Two storeys,B1,2007-05-01,2008-05-01,85855.99,73935.51,64674.05,52756.59,9665.1,9662.1,0.0,0.0,72621.96,61263.24,0.0,0.0,0.0,0.0,4.25,3.45,2.61,2.61,1.74,1.74,1.02,1.02,0.0,0.0,200002,200002,Oil,Oil,Boiler  with flue vent damper,Boiler  with flame retention head,0.0,85.7,69.0,83.1,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,False,False,False,True,True,False,False,False,True,False,0.14,0.18,False
291925.0,C1B,PE,1975,183.3,Single detached,One storey,B1,2007-07-01,2008-04-01,55593.64,50191.1,34811.86,29420.04,9264.9,9254.2,0.0,0.0,44158.86,39019.08,0.0,0.0,0.0,0.0,5.38,4.4261,3.95,3.95,1.9,2.68,0.04,0.04,0.0,0.0,200002,233204,Oil,Oil,Boiler  with flue vent damper,Boiler  with flue vent damper,0.0,0.0,68.9,68.7,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,False,False,False,True,True,False,False,False,True,False,False,0.1,0.15,False
299449.0,C1N,PE,1900,369.3,Single detached,One and a half,B1,2007-06-01,2008-11-01,146547.62,50133.18,130563.52,35168.17,15984.0,50132.8,0.0,0.0,124448.16,0.0,0.0,0.0,0.0,0.0,9.52,5.5768,0.3,5.67,0.86,3.0,0.09,0.09,0.0,0.0,100022,213224.0,Oil,Electricity,Furnace,Baseboard/Hydronic/Plenum(duct) htrs.,0.0,0.0,69.1,100.0,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,False,False,True,True,True,False,False,False,False,True,0.66,0.73,True
299787.0,C0A,PE,2000,288.4,Single detached,One storey,B1,2007-06-01,2008-12-01,92471.07,67281.07,71050.76,46047.98,9903.5,9716.2,0.0,0.0,78700.14,54868.86,0.0,0.0,0.0,0.0,10.77,7.0883,3.46,7.04,2.47,2.58,0.08,0.08,3.89,3.89,100002,213224.0,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,80.2,79.3,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,False,False,True,True,False,False,False,False,True,False,0.27,0.35,False
291923.0,C1A,PE,1900,246.8,Single detached,Two storeys,B1,2007-06-01,2008-12-01,165579.91,59316.45,151245.63,36452.46,14334.2,8812.4,0.0,2537.46,0.0,45722.52,0.0,0.0,127917.69,0.0,14.51,3.6436,0.27,6.25,0.71,1.78,0.04,0.19,0.0,0.0,200202,200224,Hardwood,Oil,Advanced airtight wood stove,Boiler  with flame retention head,0.0,85.0,64.8,82.2,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,True,False,True,True,True,False,False,False,False,True,0.64,0.76,True
