REF_DATE,GEO,"Household expenditures, summary-level categories",VALUE
2023,Canada,Food expenditures,12046
2023,Canada,Shelter,24671
2023,Canada,Household operations,6014
2023,Canada,Household furnishings and equipment,3390
2023,Canada,Clothing and accessories,2739
2023,Canada,Transportation,12090
2023,Canada,Health care,3087
2023,Canada,Personal care,1860
2023,Canada,Recreation,5231
2023,Canada,Education,1694
2023,Canada,Reading materials and other printed matter,195
2023,Canada,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1809
2023,Canada,Games of chance,192
2023,Canada,Miscellaneous expenditures,1732
2023,Newfoundland and Labrador,Food expenditures,13414
2023,Newfoundland and Labrador,Shelter,15839
2023,Newfoundland and Labrador,Household operations,5914
2023,Newfoundland and Labrador,Household furnishings and equipment,3349
2023,Newfoundland and Labrador,Clothing and accessories,2179
2023,Newfoundland and Labrador,Transportation,13262
2023,Newfoundland and Labrador,Health care,2695
2023,Newfoundland and Labrador,Personal care,1751
2023,Newfoundland and Labrador,Recreation,4930
2023,Newfoundland and Labrador,Education,790
2023,Newfoundland and Labrador,Reading materials and other printed matter,163
2023,Newfoundland and Labrador,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1707
2023,Newfoundland and Labrador,Games of chance,214
2023,Newfoundland and Labrador,Miscellaneous expenditures,1232
2023,Prince Edward Island,Food expenditures,12048
2023,Prince Edward Island,Shelter,18326
2023,Prince Edward Island,Household operations,6286
2023,Prince Edward Island,Household furnishings and equipment,3001
2023,Prince Edward Island,Clothing and accessories,1993
2023,Prince Edward Island,Transportation,11054
2023,Prince Edward Island,Health care,2582
2023,Prince Edward Island,Personal care,1497
2023,Prince Edward Island,Recreation,4311
2023,Prince Edward Island,Education,995
2023,Prince Edward Island,Reading materials and other printed matter,158
2023,Prince Edward Island,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1920
2023,Prince Edward Island,Games of chance,192
2023,Prince Edward Island,Miscellaneous expenditures,1538
2023,Nova Scotia,Food expenditures,10841
2023,Nova Scotia,Shelter,18276
2023,Nova Scotia,Household operations,5921
2023,Nova Scotia,Household furnishings and equipment,3089
2023,Nova Scotia,Clothing and accessories,2151
2023,Nova Scotia,Transportation,11656
2023,Nova Scotia,Health care,2782
2023,Nova Scotia,Personal care,1744
2023,Nova Scotia,Recreation,4581
2023,Nova Scotia,Education,1273
2023,Nova Scotia,Reading materials and other printed matter,205
2023,Nova Scotia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1610
2023,Nova Scotia,Games of chance,208
2023,Nova Scotia,Miscellaneous expenditures,1437
2023,New Brunswick,Food expenditures,11150
2023,New Brunswick,Shelter,16357
2023,New Brunswick,Household operations,5999
2023,New Brunswick,Household furnishings and equipment,3523
2023,New Brunswick,Clothing and accessories,2129
2023,New Brunswick,Transportation,11818
2023,New Brunswick,Health care,3030
2023,New Brunswick,Personal care,1532
2023,New Brunswick,Recreation,4588
2023,New Brunswick,Education,950
2023,New Brunswick,Reading materials and other printed matter,128
2023,New Brunswick,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1563
2023,New Brunswick,Games of chance,181
2023,New Brunswick,Miscellaneous expenditures,1280
2023,Quebec,Food expenditures,11314
2023,Quebec,Shelter,17715
2023,Quebec,Household operations,5123
2023,Quebec,Household furnishings and equipment,3267
2023,Quebec,Clothing and accessories,2493
2023,Quebec,Transportation,11022
2023,Quebec,Health care,2870
2023,Quebec,Personal care,1748
2023,Quebec,Recreation,4941
2023,Quebec,Education,1016
2023,Quebec,Reading materials and other printed matter,164
2023,Quebec,"Tobacco products, alcoholic beverages and cannabis for non-medical use",2018
2023,Quebec,Games of chance,186
2023,Quebec,Miscellaneous expenditures,1467
2023,Ontario,Food expenditures,11768
2023,Ontario,Shelter,29312
2023,Ontario,Household operations,6395
2023,Ontario,Household furnishings and equipment,3433
2023,Ontario,Clothing and accessories,3107
2023,Ontario,Transportation,11936
2023,Ontario,Health care,3143
2023,Ontario,Personal care,1730
2023,Ontario,Recreation,5179
2023,Ontario,Education,2033
2023,Ontario,Reading materials and other printed matter,228
2023,Ontario,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1599
2023,Ontario,Games of chance,179
2023,Ontario,Miscellaneous expenditures,1934
2023,Manitoba,Food expenditures,12599
2023,Manitoba,Shelter,18985
2023,Manitoba,Household operations,5822
2023,Manitoba,Household furnishings and equipment,3146
2023,Manitoba,Clothing and accessories,2311
2023,Manitoba,Transportation,11771
2023,Manitoba,Health care,3245
2023,Manitoba,Personal care,1842
2023,Manitoba,Recreation,4663
2023,Manitoba,Education,1196
2023,Manitoba,Reading materials and other printed matter,133
2023,Manitoba,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1415
2023,Manitoba,Games of chance,237
2023,Manitoba,Miscellaneous expenditures,1431
2023,Saskatchewan,Food expenditures,12738
2023,Saskatchewan,Shelter,19823
2023,Saskatchewan,Household operations,5963
2023,Saskatchewan,Household furnishings and equipment,2980
2023,Saskatchewan,Clothing and accessories,2087
2023,Saskatchewan,Transportation,12421
2023,Saskatchewan,Health care,3264
2023,Saskatchewan,Personal care,1821
2023,Saskatchewan,Recreation,4450
2023,Saskatchewan,Education,1116
2023,Saskatchewan,Reading materials and other printed matter,177
2023,Saskatchewan,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1548
2023,Saskatchewan,Games of chance,127
2023,Saskatchewan,Miscellaneous expenditures,1329
2023,Alberta,Food expenditures,14526
2023,Alberta,Shelter,26826
2023,Alberta,Household operations,6669
2023,Alberta,Household furnishings and equipment,3799
2023,Alberta,Clothing and accessories,2979
2023,Alberta,Transportation,14539
2023,Alberta,Health care,3377
2023,Alberta,Personal care,2599
2023,Alberta,Recreation,5823
2023,Alberta,Education,2118
2023,Alberta,Reading materials and other printed matter,168
2023,Alberta,"Tobacco products, alcoholic beverages and cannabis for non-medical use",2550
2023,Alberta,Games of chance,375
2023,Alberta,Miscellaneous expenditures,1840
2023,British Columbia,Food expenditures,12129
2023,British Columbia,Shelter,28739
2023,British Columbia,Household operations,6113
2023,British Columbia,Household furnishings and equipment,3379
2023,British Columbia,Clothing and accessories,2531
2023,British Columbia,Transportation,12540
2023,British Columbia,Health care,3139
2023,British Columbia,Personal care,1953
2023,British Columbia,Recreation,6027
2023,British Columbia,Education,2194
2023,British Columbia,Reading materials and other printed matter,210
2023,British Columbia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",1687
2023,British Columbia,Games of chance,98
2023,British Columbia,Miscellaneous expenditures,1915
