fsa,geo_name,province_letter,population_2021,population_2016,pop_change_pct,median_age,avg_age,pct_under_15,pct_15_to_64,pct_65_plus,avg_household_size,pct_owners,pct_renters,median_total_income_individual,avg_total_income_individual,median_aftertax_income_individual,avg_aftertax_income_individual,median_employment_income_individual,avg_employment_income_individual,median_employment_income_fyft,avg_employment_income_fyft,median_household_total_income,avg_household_total_income,median_household_aftertax_income,avg_household_aftertax_income,pct_low_income_lim_at,pct_english_only,pct_french_only,pct_bilingual,pct_neither_lang,pct_postsecondary,pct_bachelors_plus,pct_participation,pct_employed,pct_unemployed,pct_commute_car,pct_commute_transit,pct_commute_walk,avg_commute_minutes_est,pct_immigrant,pct_visible_minority,pct_spending_30pct_plus_on_shelter,median_dwelling_value,avg_dwelling_value,inc_total_base,inc_without_income,inc_brackets_count,inc_brackets_pct,emp_total_base,emp_without_income,emp_with_income,emp_brackets_count,emp_brackets_pct,dwell_total,dwell_count,dwell_pct
A0A,A0A,NL,44930.0,,,51.6,47.2,13.0,61.0,26.1,2.3,86.0,14.0,34400.0,43480.0,31200.0,36760.0,27600.0,39440.0,56400.0,64800.0,67000.0,82600.0,59600.0,69800.0,16.7,97.6,0.0,2.4,0.0,49.7,10.5,50.4,83.5,16.6,90.7,1.6,3.3,28.4,1.1,0.5,12.1,200000.0,232600.0,38810,1230,3090|5565|7585|5720|4590|3115|2090|1510|1035|895|1680|715,7.96|14.34|19.54|14.74|11.83|8.03|5.39|3.89|2.67|2.31|4.33|1.84,38810,15450,23360,5975|3620|2690|2230|1955|1485|1165|915|750|725|865|980,25.58|15.5|11.52|9.55|8.37|6.36|4.99|3.92|3.21|3.1|3.7|4.2,19750,18155|375|320|495|260|5|25|120,91.9|1.9|1.6|2.5|1.3|0.0|0.1|0.6
A0B,A0B,NL,19287.0,,,57.2,51.6,10.1,56.6,33.3,2.1,88.9,11.1,32400.0,41440.0,29600.0,35240.0,24400.0,36760.0,53600.0,63150.0,60400.0,76000.0,54400.0,64600.0,18.0,97.9,0.0,2.1,0.1,46.6,7.6,48.8,79.2,20.8,89.0,1.0,3.7,29.1,1.1,0.5,8.0,150000.0,180600.0,17140,400,1300|2760|3600|2660|1900|1375|845|625|390|320|680|280,7.58|16.1|21.0|15.52|11.09|8.02|4.93|3.65|2.28|1.87|3.97|1.63,17140,7175,9965,2695|1755|1180|940|760|595|425|350|260|275|360|365,27.04|17.61|11.84|9.43|7.63|5.97|4.26|3.51|2.61|2.76|3.61|3.66,9100,8625|80|100|65|145|0|10|75,94.8|0.9|1.1|0.7|1.6|0.0|0.1|0.8
A0C,A0C,NL,11972.0,,,56.4,51.2,9.9,58.4,31.7,2.1,86.5,13.5,30600.0,36480.0,28000.0,31880.0,20800.0,30280.0,45600.0,53600.0,55200.0,67800.0,50800.0,59250.0,21.4,98.6,0.0,1.4,0.0,38.0,6.5,48.4,76.9,23.1,90.5,1.4,4.0,22.6,1.2,0.5,8.3,150000.0,159200.0,10640,285,835|1780|2475|1845|1350|760|450|250|170|130|215|95,7.85|16.73|23.26|17.34|12.69|7.14|4.23|2.35|1.6|1.22|2.02|0.89,10640,4515,6125,1655|1340|880|660|515|290|210|135|115|95|130|105,27.02|21.88|14.37|10.78|8.41|4.73|3.43|2.2|1.88|1.55|2.12|1.71,5610,5240|55|70|75|130|0|10|25,93.4|1.0|1.2|1.3|2.3|0.0|0.2|0.4
A0E,A0E,NL,21209.0,,,54.8,49.6,11.2,58.6,30.2,2.2,85.5,14.5,31600.0,40920.0,29000.0,34880.0,26400.0,38240.0,52000.0,62900.0,60000.0,75900.0,54400.0,64700.0,19.7,97.7,0.0,2.2,0.0,45.7,6.7,48.6,79.9,20.1,86.8,1.3,5.6,21.4,1.0,0.6,9.2,125000.0,150400.0,18570,530,1510|3115|3875|2695|2110|1315|925|665|455|410|675|290,8.13|16.77|20.87|14.51|11.36|7.08|4.98|3.58|2.45|2.21|3.63|1.56,18570,7775,10795,2745|1710|1420|1120|860|595|515|425|315|370|345|375,25.43|15.84|13.15|10.38|7.97|5.51|4.77|3.94|2.92|3.43|3.2|3.47,9740,8785|140|260|265|205|0|15|70,90.2|1.4|2.7|2.7|2.1|0.0|0.2|0.7
A0G,A0G,NL,33316.0,,,56.0,50.7,10.9,57.1,32.1,2.2,86.5,13.5,30200.0,36920.0,27800.0,31960.0,19800.0,30400.0,50400.0,57500.0,57600.0,69800.0,52800.0,60500.0,21.5,98.9,0.0,1.1,0.0,37.3,6.5,44.3,74.8,25.2,88.2,1.3,4.9,24.3,0.7,0.5,8.9,150000.0,158000.0,29220,810,2550|5450|6120|4815|3480|2020|1215|800|530|415|770|255,8.73|18.65|20.94|16.48|11.91|6.91|4.16|2.74|1.81|1.42|2.64|0.87,29220,12895,16325,4785|3410|2210|1560|1115|815|590|445|330|315|410|340,29.31|20.89|13.54|9.56|6.83|4.99|3.61|2.73|2.02|1.93|2.51|2.08,14990,13935|365|190|130|235|0|20|115,93.0|2.4|1.3|0.9|1.6|0.0|0.1|0.8
A0H,A0H,NL,16743.0,,,55.2,50.0,10.7,59.4,29.9,2.2,82.9,17.1,30800.0,38000.0,28400.0,33200.0,22600.0,33120.0,52800.0,58400.0,58800.0,71300.0,54000.0,62250.0,21.4,98.9,0.0,1.0,0.1,38.2,6.5,47.5,79.2,20.9,86.6,1.2,7.2,19.9,0.5,0.4,10.5,120000.0,138400.0,14765,505,1265|2470|3170|2395|1675|1080|645|475|295|245|430|105,8.57|16.73|21.47|16.22|11.34|7.31|4.37|3.22|2.0|1.66|2.91|0.71,14765,6435,8330,2295|1595|1095|750|660|495|385|265|190|200|260|150,27.55|19.15|13.15|9.0|7.92|5.94|4.62|3.18|2.28|2.4|3.12|1.8,7605,6735|255|315|115|105|0|10|70,88.6|3.4|4.1|1.5|1.4|0.0|0.1|0.9
A0J,A0J,NL,7497.0,,,55.6,50.7,10.5,58.3,31.2,2.1,80.6,19.4,29400.0,38520.0,27200.0,33080.0,24000.0,36120.0,55200.0,63100.0,58400.0,72000.0,53200.0,61800.0,21.7,99.1,0.0,0.9,0.1,36.6,6.4,46.2,78.1,21.8,89.4,1.1,3.4,20.5,0.9,0.2,11.4,150000.0,161200.0,6550,160,640|1195|1410|935|630|430|325|215|150|125|225|100,9.77|18.24|21.53|14.27|9.62|6.56|4.96|3.28|2.29|1.91|3.44|1.53,6550,2860,3690,980|680|470|325|250|250|145|140|95|105|110|140,26.56|18.43|12.74|8.81|6.78|6.78|3.93|3.79|2.57|2.85|2.98|3.79,3430,2980|60|185|75|90|0|5|30,86.9|1.7|5.4|2.2|2.6|0.0|0.1|0.9
A0K,A0K,NL,24659.0,,,55.2,50.5,10.3,59.8,29.8,2.2,90.1,9.9,32400.0,40200.0,29600.0,34480.0,20200.0,32320.0,54800.0,62850.0,66500.0,78300.0,59200.0,67100.0,17.8,98.7,0.0,1.2,0.0,34.4,7.6,49.1,69.7,30.3,86.2,0.9,6.8,20.9,1.4,1.3,6.3,100000.0,122900.0,21835,525,1510|3460|4695|3610|2715|1670|1040|700|505|375|755|270,6.92|15.85|21.5|16.53|12.43|7.65|4.76|3.21|2.31|1.72|3.46|1.24,21835,7940,13895,4050|2840|1735|1260|945|705|520|390|345|300|440|365,29.15|20.44|12.49|9.07|6.8|5.07|3.74|2.81|2.48|2.16|3.17|2.63,11015,10300|125|150|100|205|0|20|115,93.5|1.1|1.4|0.9|1.9|0.0|0.2|1.0
A0L,A0L,NL,7503.0,,,50.8,46.8,13.0,61.0,26.0,2.3,84.9,15.1,37200.0,43480.0,32800.0,37000.0,28600.0,37680.0,59600.0,65100.0,73000.0,83300.0,64500.0,70900.0,13.8,97.7,0.0,2.3,0.0,49.4,13.5,53.7,82.6,17.4,90.7,0.8,5.7,24.8,1.3,0.7,11.5,210000.0,236200.0,6520,185,465|905|1105|985|875|620|370|280|200|160|285|70,7.13|13.88|16.95|15.11|13.42|9.51|5.67|4.29|3.07|2.45|4.37|1.07,6520,2395,4125,985|610|510|435|355|300|200|180|135|130|160|115,23.88|14.79|12.36|10.55|8.61|7.27|4.85|4.36|3.27|3.15|3.88|2.79,3260,2995|20|85|135|20|0|0|5,91.9|0.6|2.6|4.1|0.6|0.0|0.0|0.2
A0M,A0M,NL,5468.0,,,55.6,50.5,10.4,58.3,31.4,2.1,85.1,14.9,33200.0,41960.0,30600.0,36080.0,27800.0,37080.0,59600.0,61500.0,63200.0,77100.0,57200.0,66300.0,17.2,98.9,0.0,1.1,0.0,38.1,7.7,46.8,81.9,18.1,80.7,3.2,7.2,18.0,0.9,0.8,8.7,100000.0,130200.0,4860,155,400|745|955|690|540|370|320|205|175|110|160|35,8.23|15.33|19.65|14.2|11.11|7.61|6.58|4.22|3.6|2.26|3.29|0.72,4860,1930,2930,775|465|310|275|210|225|200|155|105|75|105|40,26.45|15.87|10.58|9.39|7.17|7.68|6.83|5.29|3.58|2.56|3.58|1.37,2540,2290|40|0|75|120|0|15|0,90.2|1.6|0.0|3.0|4.7|0.0|0.6|0.0
A0N,A0N,NL,12387.0,,,56.8,51.5,10.1,57.8,32.1,2.0,84.9,15.1,28200.0,34320.0,26200.0,30240.0,20200.0,29520.0,47600.0,55500.0,49200.0,60900.0,45600.0,53650.0,27.3,94.6,0.0,5.3,0.0,37.8,6.6,40.8,73.0,27.1,87.3,1.3,6.5,22.8,0.8,0.3,10.0,120000.0,149600.0,10975,335,1040|2115|2540|1700|1220|705|450|260|200|120|210|70,9.48|19.27|23.14|15.49|11.12|6.42|4.1|2.37|1.82|1.09|1.91|0.64,10975,5395,5580,1660|1120|725|575|420|285|230|165|120|95|100|90,29.75|20.07|12.99|10.3|7.53|5.11|4.12|2.96|2.15|1.7|1.79|1.61,5980,5660|70|45|60|65|5|10|60,94.6|1.2|0.8|1.0|1.1|0.1|0.2|1.0
