FSA,Province,CMA,CMA_TYPE,CREA_BOARD
A0A,Newfoundland and Labrador,,,
A0B,Newfoundland and Labrador,,,
A0C,Newfoundland and Labrador,,,
A0E,Newfoundland and Labrador,,,
A0G,Newfoundland and Labrador,Gander,D,
A0H,Newfoundland and Labrador,,,
A0J,,,,
A0K,Newfoundland and Labrador,,,
A0L,Newfoundland and Labrador,,,
A0M,Newfoundland and Labrador,,,
A0N,Newfoundland and Labrador,,,
A0P,Newfoundland and Labrador,,,
A0R,Newfoundland and Labrador,,,
A1A,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1B,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1C,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1E,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1G,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1H,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1K,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1L,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1M,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1N,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1S,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1V,Newfoundland and Labrador,Gander,D,
A1W,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1X,Newfoundland and Labrador,St. John's,B,ST_JOHNS_NL
A1Y,Newfoundland and Labrador,,,
A2A,Newfoundland and Labrador,Grand Falls-Windsor,D,
A2B,Newfoundland and Labrador,Grand Falls-Windsor,D,
A2H,Newfoundland and Labrador,Corner Brook,D,
A2N,Newfoundland and Labrador,,,
A2V,Newfoundland and Labrador,,,
A5A,Newfoundland and Labrador,,,
A8A,Newfoundland and Labrador,,,
B0C,Nova Scotia,,,
B0E,Nova Scotia,,,
B0H,Nova Scotia,,,
B0J,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B0K,Nova Scotia,,,
B0L,Nova Scotia,,,
B0M,Nova Scotia,,,
B0N,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B0P,Nova Scotia,,,
B0R,Nova Scotia,,,
B0S,Nova Scotia,,,
B0T,Nova Scotia,,,
B0V,,,,
B0W,Nova Scotia,,,
B1A,Nova Scotia,Cape Breton,D,
B1B,Nova Scotia,Cape Breton,D,
B1C,Nova Scotia,Cape Breton,D,
B1E,Nova Scotia,Cape Breton,D,
B1G,Nova Scotia,Cape Breton,D,
B1H,Nova Scotia,Cape Breton,D,
B1J,Nova Scotia,Cape Breton,D,
B1K,Nova Scotia,Cape Breton,D,
B1L,Nova Scotia,Cape Breton,D,
B1M,Nova Scotia,Cape Breton,D,
B1N,Nova Scotia,Cape Breton,D,
B1P,Nova Scotia,Cape Breton,D,
B1R,Nova Scotia,Cape Breton,D,
B1S,Nova Scotia,Cape Breton,D,
B1T,Nova Scotia,Cape Breton,D,
B1V,Nova Scotia,Cape Breton,D,
B1W,Nova Scotia,Cape Breton,D,
B1X,Nova Scotia,,,
B1Y,Nova Scotia,Cape Breton,D,
B2A,Nova Scotia,Cape Breton,D,
B2C,Nova Scotia,,,
B2E,Nova Scotia,,,
B2G,Nova Scotia,,,
B2H,Nova Scotia,New Glasgow,D,
B2J,Nova Scotia,,,
B2N,Nova Scotia,Truro,D,
B2R,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B2S,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B2T,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B2V,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B2W,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B2X,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B2Y,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B2Z,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3A,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3B,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3E,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3G,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3H,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3J,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3K,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3L,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3M,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3N,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3P,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3R,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3S,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3T,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3V,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B3Z,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B4A,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B4B,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B4C,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B4E,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B4G,Nova Scotia,Halifax,B,HALIFAX_DARTMOUTH
B4H,Nova Scotia,,,
B4N,Nova Scotia,Kentville,D,
B4P,Nova Scotia,,,
B4R,Nova Scotia,Kentville,D,
B4V,Nova Scotia,,,
B5A,Nova Scotia,,,
B6L,Nova Scotia,Truro,D,
B9A,Nova Scotia,,,
C0A,Prince Edward Island,,,
C0B,Prince Edward Island,,,
C1A,Prince Edward Island,Charlottetown,D,PRINCE_EDWARD_ISLAND
C1B,Prince Edward Island,Charlottetown,D,PRINCE_EDWARD_ISLAND
C1C,Prince Edward Island,Charlottetown,D,PRINCE_EDWARD_ISLAND
C1E,Prince Edward Island,Charlottetown,D,PRINCE_EDWARD_ISLAND
C1N,Prince Edward Island,,,
E1A,New Brunswick,Moncton,B,GREATER_MONCTON
E1B,New Brunswick,Moncton,B,GREATER_MONCTON
E1C,New Brunswick,Moncton,B,GREATER_MONCTON
E1E,New Brunswick,Moncton,B,GREATER_MONCTON
E1G,New Brunswick,Moncton,B,GREATER_MONCTON
E1H,New Brunswick,Moncton,B,GREATER_MONCTON
E1J,New Brunswick,Moncton,B,GREATER_MONCTON
E1N,New Brunswick,Miramichi,D,
E1V,New Brunswick,Miramichi,D,
E1W,New Brunswick,,,
E1X,New Brunswick,,,
E2A,New Brunswick,Bathurst,D,
E2E,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2G,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2H,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2J,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2K,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2L,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2M,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2N,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2P,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2S,New Brunswick,Saint John,B,SAINT_JOHN_NB
E2V,New Brunswick,,,
E3A,New Brunswick,Fredericton,B,FREDERICTON
E3B,New Brunswick,Fredericton,B,FREDERICTON
E3C,New Brunswick,Fredericton,B,FREDERICTON
E3E,New Brunswick,Fredericton,B,FREDERICTON
E3G,New Brunswick,Fredericton,B,FREDERICTON
E3L,New Brunswick,,,
E3N,New Brunswick,Campbellton (New Brunswick part / partie du Nouveau-Brunswick),D,
E3V,New Brunswick,Edmundston,D,
E3Y,New Brunswick,,,
E3Z,New Brunswick,,,
E4A,New Brunswick,,,
E4B,New Brunswick,,,
E4C,New Brunswick,,,
E4E,New Brunswick,,,
E4G,New Brunswick,,,
E4H,New Brunswick,,,
E4J,New Brunswick,,,
E4K,New Brunswick,Moncton,B,GREATER_MONCTON
E4L,New Brunswick,,,
E4M,New Brunswick,,,
E4N,New Brunswick,,,
E4P,New Brunswick,,,
E4R,New Brunswick,,,
E4S,New Brunswick,,,
E4T,New Brunswick,,,
E4V,New Brunswick,,,
E4W,New Brunswick,,,
E4X,New Brunswick,,,
E4Y,New Brunswick,,,
E4Z,New Brunswick,,,
E5A,New Brunswick,,,
E5B,New Brunswick,,,
E5C,New Brunswick,,,
E5E,New Brunswick,,,
E5G,New Brunswick,,,
E5H,New Brunswick,,,
E5J,New Brunswick,Saint John,B,SAINT_JOHN_NB
E5K,New Brunswick,Saint John,B,SAINT_JOHN_NB
E5L,New Brunswick,,,
E5M,New Brunswick,,,
E5N,New Brunswick,Saint John,B,SAINT_JOHN_NB
E5P,New Brunswick,,,
E5R,New Brunswick,Saint John,B,SAINT_JOHN_NB
E5S,New Brunswick,Saint John,B,SAINT_JOHN_NB
E5T,New Brunswick,,,
E5V,New Brunswick,,,
E6A,New Brunswick,,,
E6B,New Brunswick,Fredericton,B,FREDERICTON
E6C,New Brunswick,Fredericton,B,FREDERICTON
E6E,New Brunswick,,,
E6G,New Brunswick,,,
E6H,New Brunswick,,,
E6J,New Brunswick,,,
E6K,New Brunswick,Fredericton,B,FREDERICTON
E6L,New Brunswick,Fredericton,B,FREDERICTON
E7A,New Brunswick,,,
E7B,New Brunswick,Edmundston,D,
E7C,New Brunswick,Edmundston,D,
E7E,New Brunswick,,,
E7G,New Brunswick,,,
E7H,New Brunswick,,,
E7J,New Brunswick,,,
E7K,New Brunswick,,,
E7L,New Brunswick,,,
E7M,New Brunswick,,,
E7N,New Brunswick,,,
E7P,New Brunswick,,,
E8A,New Brunswick,,,
E8B,New Brunswick,,,
E8C,New Brunswick,,,
E8E,New Brunswick,,,
E8G,New Brunswick,,,
E8J,New Brunswick,Bathurst,D,
E8K,New Brunswick,Bathurst,D,
E8L,New Brunswick,,,
E8M,New Brunswick,,,
E8N,New Brunswick,,,
E8P,New Brunswick,,,
E8R,New Brunswick,,,
E8S,,,,
E8T,New Brunswick,,,
E9A,New Brunswick,,,
E9B,New Brunswick,,,
E9C,New Brunswick,,,
E9E,New Brunswick,Miramichi,D,
E9G,New Brunswick,,,
E9H,New Brunswick,,,
G0A,Quebec,,,
G0C,Quebec,,,
G0E,Quebec,,,
G0G,Quebec,,,
G0H,Quebec,,,
G0J,Quebec,,,
G0K,Quebec,,,
G0L,Quebec,,,
G0M,Quebec,,,
G0N,Quebec,Thetford Mines,D,
G0P,Quebec,,,
G0R,Quebec,,,
G0S,Quebec,,,
G0T,Quebec,,,
G0V,Quebec,,,
G0W,Quebec,,,
G0X,Quebec,,,
G0Y,Quebec,,,
G0Z,Quebec,,,
G1B,Quebec,Québec,B,QUEBEC_CMA
G1C,Quebec,Québec,B,QUEBEC_CMA
G1E,Quebec,Québec,B,QUEBEC_CMA
G1G,Quebec,Québec,B,QUEBEC_CMA
G1H,Quebec,Québec,B,QUEBEC_CMA
G1J,Quebec,Québec,B,QUEBEC_CMA
G1K,Quebec,Québec,B,QUEBEC_CMA
G1L,Quebec,Québec,B,QUEBEC_CMA
G1M,Quebec,Québec,B,QUEBEC_CMA
G1N,Quebec,Québec,B,QUEBEC_CMA
G1P,Quebec,Québec,B,QUEBEC_CMA
G1R,Quebec,Québec,B,QUEBEC_CMA
G1S,Quebec,Québec,B,QUEBEC_CMA
G1T,Quebec,Québec,B,QUEBEC_CMA
G1V,Quebec,Québec,B,QUEBEC_CMA
G1W,Quebec,Québec,B,QUEBEC_CMA
G1X,Quebec,Québec,B,QUEBEC_CMA
G1Y,Quebec,Québec,B,QUEBEC_CMA
G2A,Quebec,Québec,B,QUEBEC_CMA
G2B,Quebec,Québec,B,QUEBEC_CMA
G2C,Quebec,Québec,B,QUEBEC_CMA
G2E,Quebec,Québec,B,QUEBEC_CMA
G2G,Quebec,Québec,B,QUEBEC_CMA
G2J,Quebec,Québec,B,QUEBEC_CMA
G2K,Quebec,Québec,B,QUEBEC_CMA
G2L,Quebec,Québec,B,QUEBEC_CMA
G2M,Quebec,Québec,B,QUEBEC_CMA
G2N,Quebec,Québec,B,QUEBEC_CMA
G3A,Quebec,Québec,B,QUEBEC_CMA
G3B,Quebec,Québec,B,QUEBEC_CMA
G3C,Quebec,Québec,B,QUEBEC_CMA
G3E,Quebec,Québec,B,QUEBEC_CMA
G3G,Quebec,Québec,B,QUEBEC_CMA
G3H,Quebec,,,
G3J,Quebec,Québec,B,QUEBEC_CMA
G3K,Quebec,Québec,B,QUEBEC_CMA
G3L,Quebec,,,
G3M,Quebec,,,
G3N,Quebec,Québec,B,QUEBEC_CMA
G3S,Quebec,Québec,B,QUEBEC_CMA
G3Z,Quebec,,,
G4A,Quebec,,,
G4R,Quebec,,,
G4S,Quebec,Sept-Îles,D,
G4T,Quebec,,,
G4V,Quebec,,,
G4W,Quebec,Matane,D,
G4X,Quebec,,,
G4Z,Quebec,,,
G5A,Quebec,,,
G5B,Quebec,,,
G5C,Quebec,Baie-Comeau,D,
G5H,Quebec,,,
G5J,Quebec,,,
G5L,Quebec,Rimouski,D,
G5M,Quebec,Rimouski,D,
G5N,Quebec,Rimouski,D,
G5R,Quebec,Rivière-du-Loup,D,
G5T,Quebec,,,
G5V,Quebec,,,
G5X,Quebec,,,
G5Y,Quebec,Saint-Georges,D,
G5Z,Quebec,Saint-Georges,D,
G6A,Quebec,Saint-Georges,D,
G6B,Quebec,,,
G6C,Quebec,Québec,B,QUEBEC_CMA
G6E,Quebec,Sainte-Marie,D,
G6G,Quebec,Thetford Mines,D,
G6H,Quebec,Thetford Mines,D,
G6J,Quebec,Québec,B,QUEBEC_CMA
G6K,Quebec,Québec,B,QUEBEC_CMA
G6L,Quebec,,,
G6P,Quebec,Victoriaville,D,
G6R,Quebec,Victoriaville,D,
G6S,Quebec,Victoriaville,D,
G6T,Quebec,Victoriaville,D,
G6V,Quebec,Québec,B,QUEBEC_CMA
G6W,Quebec,Québec,B,QUEBEC_CMA
G6X,Quebec,Québec,B,QUEBEC_CMA
G6Y,Quebec,Québec,B,QUEBEC_CMA
G6Z,Quebec,Québec,B,QUEBEC_CMA
G7A,Quebec,Québec,B,QUEBEC_CMA
G7B,Quebec,Saguenay,B,
G7G,Quebec,Saguenay,B,
G7H,Quebec,Saguenay,B,
G7J,Quebec,Saguenay,B,
G7K,Quebec,Saguenay,B,
G7N,Quebec,,,
G7P,Quebec,,,
G7S,Quebec,Saguenay,B,
G7T,Quebec,Saguenay,B,
G7X,Quebec,Saguenay,B,
G7Y,Quebec,Saguenay,B,
G7Z,Quebec,Saguenay,B,
G8A,Quebec,Saguenay,B,
G8B,Quebec,Alma,D,
G8C,Quebec,Alma,D,
G8E,Quebec,Alma,D,
G8G,Quebec,,,
G8H,Quebec,,,
G8J,Quebec,,,
G8K,Quebec,,,
G8L,Quebec,,,
G8M,Quebec,,,
G8N,Quebec,,,
G8P,Quebec,,,
G8T,Quebec,Trois-Rivières,B,MAURICIE
G8V,Quebec,Trois-Rivières,B,MAURICIE
G8W,Quebec,Trois-Rivières,B,MAURICIE
G8Y,Quebec,Trois-Rivières,B,MAURICIE
G8Z,Quebec,Trois-Rivières,B,MAURICIE
G9A,Quebec,Trois-Rivières,B,MAURICIE
