Province,Under_5000,5000_to_10000,10000_to_15000,15000_to_20000,20000_to_25000,25000_to_30000,30000_to_35000,35000_to_40000,40000_to_45000,45000_to_50000,50000_to_55000,55000_to_60000,60000_to_70000,70000_to_80000,80000_to_90000,90000_to_100000,100000_to_150000,150000_to_250000,over_250000,Total_Filers,Cum_Under_5000,Cum_5000_to_10000,Cum_10000_to_15000,Cum_15000_to_20000,Cum_20000_to_25000,Cum_25000_to_30000,Cum_30000_to_35000,Cum_35000_to_40000,Cum_40000_to_45000,Cum_45000_to_50000,Cum_50000_to_55000,Cum_55000_to_60000,Cum_60000_to_70000,Cum_70000_to_80000,Cum_80000_to_90000,Cum_90000_to_100000,Cum_100000_to_150000,Cum_150000_to_250000,Cum_over_250000
Alberta,268180,113430,140080,175720,279250,204660,179850,165670,154580,151990,137140,123860,215660,179800,147730,128100,316920,147850,67090,3297560,268180,381610,521690,697410,976660,1181320,1361170,1526840,1681420,1833410,1970550,2094410,2310070,2489870,2637600,2765700,3082620,3230470,3297560
British Columbia,307250,141150,190020,297010,333250,252240,225650,219080,210970,203390,178500,156310,264960,216470,176830,139620,331370,149520,71870,4065460,307250,448400,638420,935430,1268680,1520920,1746570,1965650,2176620,2380010,2558510,2714820,2979780,3196250,3373080,3512700,3844070,3993590,4065460
Manitoba,102400,44420,58610,68820,84380,69900,64470,61530,56360,55140,45970,38520,65140,52900,39990,30190,65750,21060,10370,1035920,102400,146820,205430,274250,358630,428530,493000,554530,610890,666030,712000,750520,815660,868560,908550,938740,1004490,1025550,1035920
New Brunswick,35960,31450,33770,44840,61650,48760,45680,45350,42060,37060,29360,24320,38980,30670,25220,15390,30990,10720,4110,636340,35960,67410,101180,146020,207670,256430,302110,347460,389520,426580,455940,480260,519240,549910,575130,590520,621510,632230,636340
Newfoundland and Labrador,23010,17400,28520,34430,40980,32720,30800,27800,23950,22840,18160,15520,25210,19990,15570,13350,27490,10560,3930,432230,23010,40410,68930,103360,144340,177060,207860,235660,259610,282450,300610,316130,341340,361330,376900,390250,417740,428300,432230
Northwest Territories,2330,1370,1520,1780,2230,1650,1220,1130,1050,950,950,840,1720,1730,1590,1460,6010,2230,440,32200,2330,3700,5220,7000,9230,10880,12100,13230,14280,15230,16180,17020,18740,20470,22060,23520,29530,31760,32200
Nova Scotia,50820,32230,46840,51500,73770,57190,55350,51890,45980,43080,35200,29940,49630,38710,31730,25240,46780,16500,7180,789560,50820,83050,129890,181390,255160,312350,367700,419590,465570,508650,543850,573790,623420,662130,693860,719100,765880,782380,789560
Nunavut,2060,1550,1460,1320,1420,1000,740,560,480,410,400,370,660,620,710,720,2690,1070,190,18430,2060,3610,5070,6390,7810,8810,9550,10110,10590,11000,11400,11770,12430,13050,13760,14480,17170,18240,18430
Ontario,947420,448170,677250,800760,954650,677950,615540,593540,550600,559860,473940,416420,721800,599450,481320,388320,984360,404020,201990,11497360,947420,1395590,2072840,2873600,3828250,4506200,5121740,5715280,6265880,6825740,7299680,7716100,8437900,9037350,9518670,9906990,10891350,11295370,11497360
Prince Edward Island,6520,5130,6270,8060,11190,10160,10560,9440,8850,7930,6550,5270,8740,6490,5030,3480,6120,2280,1160,129230,6520,11650,17920,25980,37170,47330,57890,67330,76180,84110,90660,95930,104670,111160,116190,119670,125790,128070,129230
Quebec,386130,275920,383300,539080,602130,451020,413690,416830,396360,390950,332140,290460,468510,360680,291500,217690,443820,159720,80220,6900150,386130,662050,1045350,1584430,2186560,2637580,3051270,3468100,3864460,4255410,4587550,4878010,5346520,5707200,5998700,6216390,6660210,6819930,6900150
Saskatchewan,81270,34720,47490,58230,71980,52310,46880,45120,42530,44500,37870,33090,57430,47240,38950,31400,70230,28010,10080,879330,81270,115990,163480,221710,293690,346000,392880,438000,480530,525030,562900,595990,653420,700660,739610,771010,841240,869250,879330
Yukon,1280,810,990,1430,2020,1560,1490,1500,1410,1380,1280,1290,2390,2280,2060,1930,4350,1350,350,31150,1280,2090,3080,4510,6530,8090,9580,11080,12490,13870,15150,16440,18830,21110,23170,25100,29450,30800,31150
