province,pop_2021,total_private_dwellings,dwellings_occupied,age_total,age_0_14,age_0_4,age_5_9,age_10_14,age_15_64,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_plus,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus,avg_age,median_age,dwell_total,dwell_single_detached,dwell_semi_detached,dwell_row_house,dwell_duplex,dwell_apt_low_rise,dwell_apt_high_rise,dwell_other_attached,dwell_movable,hh_total,hh_1person,hh_2persons,hh_3persons,hh_4persons,hh_5plus,avg_hh_size,ind_median_total_income,ind_median_aftertax_income,ind_avg_total_income,ind_avg_aftertax_income,emp_inc_total,emp_inc_without,emp_inc_with,emp_inc_under5k,emp_inc_5k_10k,emp_inc_10k_20k,emp_inc_20k_30k,emp_inc_30k_40k,emp_inc_40k_50k,emp_inc_50k_60k,emp_inc_60k_70k,emp_inc_70k_80k,emp_inc_80k_90k,emp_inc_90k_100k,emp_inc_100k_plus,emp_inc_100k_125k,emp_inc_125k_plus,hh_median_total_income,hh_median_aftertax_income,hh_avg_total_income,hh_avg_aftertax_income,hh_income_total,hh_income_under5k,hh_income_5k_10k,hh_income_10k_15k,hh_income_15k_20k,hh_income_20k_25k,hh_income_25k_30k,hh_income_30k_35k,hh_income_35k_40k,hh_income_40k_45k,hh_income_45k_50k,hh_income_50k_60k,hh_income_60k_70k,hh_income_70k_80k,hh_income_80k_90k,hh_income_90k_100k,hh_income_100k_plus,hh_income_100k_125k,hh_income_125k_150k,hh_income_150k_200k,hh_income_200k_plus,lowincome_total,lowincome_lim_at_count,lowincome_lim_at_pct,lang_total,lang_english_only,lang_french_only,lang_bilingual,lang_neither,tenure_total,tenure_owner,tenure_renter,condo_total,condo_yes,condo_no,bedrooms_total,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4plus,construction_total,construction_1960_or_before,construction_1961_1980,construction_1981_1990,construction_1991_2000,construction_2001_2005,construction_2006_2010,construction_2011_2015,construction_2016_2021,condition_total,condition_regular_maintenance,condition_major_repairs,shelter_ratio_total,shelter_ratio_under30pct,shelter_ratio_30pct_or_more,owner_total,owner_pct_with_mortgage,owner_pct_30pct_shelter,owner_median_monthly_shelter,owner_avg_monthly_shelter,owner_median_dwelling_value,owner_avg_dwelling_value,renter_total,renter_pct_subsidized,renter_pct_30pct_shelter,renter_median_monthly_shelter,renter_avg_monthly_shelter,immig_total,immig_nonimmigrant,immig_immigrant,immig_recent_2016_2021,immig_nonpermanent_resident,vismin_total,vismin_visible_minority,vismin_not_visible_minority,mobility5_total,mobility5_nonmovers,mobility5_movers,mobility5_nonmigrants,mobility5_migrants,edu_total_25_64,edu_no_cert,edu_highschool,edu_postsec,edu_trades,edu_college,edu_bachelor_plus,edu_bachelor,edu_masters,edu_doctorate,labour_total,labour_in_force,labour_employed,labour_unemployed,labour_not_in_force,participation_rate,employment_rate,unemployment_rate,work_status_total,work_at_home,work_usual_place,commute_mode_total,commute_car_truck_van,commute_car_driver,commute_car_passenger,commute_transit,commute_walk,commute_bicycle,commute_other,commute_dur_total,commute_under15,commute_15_29,commute_30_44,commute_45_59,commute_60plus
Alberta,4262635.0,1772670.0,1633220.0,4262555.0,809605.0,250245.0,278785.0,280595.0,2823715.0,249755.0,248715.0,275475.0,323290.0,338970.0,307640.0,277725.0,262755.0,274130.0,265260.0,629190.0,217275.0,163945.0,105485.0,70140.0,72360.0,,,1633180.0,994535.0,98715.0,127755.0,43715.0,247060.0,74860.0,1170.0,45280.0,1633175.0,424045.0,551475.0,249085.0,243410.0,165220.0,,,,,,3374730.0,948100.0,2426620.0,305690.0,186570.0,270760.0,212460.0,202055.0,193295.0,181770.0,161800.0,133930.0,110610.0,101440.0,366365.0,158880.0,207425.0,,,,,1633030.0,16855.0,8295.0,12495.0,17740.0,49055.0,52020.0,41515.0,48225.0,52715.0,51255.0,104110.0,106330.0,104215.0,98820.0,94015.0,775550.0,204920.0,156960.0,200665.0,213070.0,4177310.0,382810.0,,4221775.0,3894565.0,3080.0,258340.0,65675.0,1633215.0,1157485.0,465245.0,1633215.0,294855.0,1338340.0,1633215.0,9120.0,158310.0,350415.0,566770.0,548595.0,1633215.0,168905.0,428640.0,188565.0,224280.0,152845.0,168895.0,161050.0,139915.0,1633215.0,1543770.0,89395.0,1588770.0,1251260.0,337530.0,1132010.0,,,,,,,463560.0,,,,,4177675.0,3141855.0,970965.0,193165.0,64830.0,4177665.0,1161400.0,3016255.0,3929955.0,2314210.0,1615720.0,854805.0,760950.0,2298165.0,227875.0,581815.0,1488445.0,220960.0,472150.0,714015.0,497905.0,139945.0,21060.0,3375080.0,2295380.0,2030690.0,264655.0,1079720.0,,,,2030715.0,446335.0,1259280.0,1578970.0,1378705.0,1287930.0,90740.0,88285.0,62795.0,11340.0,37795.0,1578970.0,487700.0,610505.0,302685.0,87195.0,90820.0
British Columbia,5000879.0,2211694.0,2041834.0,5000860.0,716960.0,216820.0,244270.0,255765.0,3267650.0,253695.0,294615.0,337050.0,358580.0,353360.0,319755.0,310005.0,329000.0,356335.0,355135.0,1016360.0,319390.0,272390.0,181095.0,121025.0,122470.0,,,2041845.0,866360.0,62850.0,168550.0,249845.0,417485.0,221820.0,3715.0,51085.0,2041795.0,600700.0,719920.0,296210.0,256685.0,168345.0,,,,,,4200240.0,1313980.0,2886250.0,397570.0,234150.0,339255.0,266045.0,257225.0,247475.0,230005.0,190490.0,154940.0,128315.0,105845.0,334870.0,154515.0,180375.0,,,,,2041670.0,30050.0,13175.0,19310.0,41730.0,82330.0,63870.0,64885.0,75125.0,73950.0,73165.0,144810.0,139120.0,131860.0,122560.0,112795.0,853000.0,235705.0,178990.0,221175.0,217185.0,4915655.0,528825.0,,4951715.0,4461295.0,1790.0,326840.0,161740.0,2041795.0,1363205.0,669460.0,2041795.0,482700.0,1559085.0,2041795.0,30825.0,354015.0,569205.0,539910.0,547880.0,2041795.0,256180.0,550730.0,289940.0,336290.0,122830.0,164140.0,135785.0,185950.0,2041795.0,1922635.0,119185.0,1988015.0,1481200.0,506775.0,1330760.0,,,,,,,663875.0,,,,,4915895.0,3319210.0,1425730.0,197375.0,170990.0,4915950.0,1689485.0,3226455.0,4699755.0,2639515.0,2060280.0,757035.0,1303230.0,2691885.0,216645.0,694810.0,1780455.0,217365.0,507430.0,941695.0,610705.0,212765.0,30220.0,4200415.0,2657270.0,2433635.0,223650.0,1543135.0,,,,2433585.0,549845.0,1500230.0,1873735.0,1497780.0,1376415.0,121365.0,174010.0,121485.0,36785.0,43570.0,1873735.0,595495.0,637125.0,369650.0,137085.0,134340.0
Central Ontario,5599314.0,2049200.0,1952607.0,5599265.0,933710.0,274840.0,316235.0,342635.0,3706100.0,345260.0,359685.0,357805.0,363705.0,372415.0,363475.0,374800.0,390835.0,412760.0,365345.0,959490.0,297825.0,253585.0,171615.0,117690.0,118825.0,,,1952585.0,1160025.0,126595.0,232775.0,70115.0,128160.0,230350.0,2455.0,2080.0,1952580.0,396540.0,580370.0,350020.0,368505.0,257140.0,,,,,,4607885.0,1378205.0,3229650.0,480535.0,284615.0,368950.0,273150.0,258350.0,256490.0,235340.0,202950.0,166650.0,141735.0,129685.0,431410.0,203275.0,228100.0,,,,,1952575.0,17810.0,8135.0,15725.0,26630.0,50020.0,48925.0,47325.0,52835.0,56195.0,56615.0,117220.0,118320.0,117930.0,113235.0,109255.0,996370.0,245335.0,197575.0,265405.0,288080.0,5540825.0,457940.0,,5558900.0,5025695.0,3425.0,367050.0,162720.0,1952385.0,1489675.0,462445.0,1952385.0,270355.0,1682020.0,1952385.0,8235.0,176310.0,325790.0,708265.0,733820.0,1952385.0,279970.0,445920.0,297085.0,290050.0,193600.0,160560.0,139705.0,145545.0,1952385.0,1864995.0,87380.0,1938860.0,1437270.0,501580.0,1484555.0,,,,,,,461940.0,,,,,5540300.0,3389555.0,2015150.0,245965.0,135595.0,5540340.0,2372915.0,3167400.0,5265870.0,3346865.0,1918850.0,670650.0,1248180.0,2985060.0,238675.0,696365.0,2050035.0,144495.0,692765.0,1130150.0,744815.0,258280.0,26070.0,4607500.0,2949080.0,2571315.0,377795.0,1658395.0,,,,2571230.0,758765.0,1481675.0,1801435.0,1589315.0,1450500.0,138865.0,112055.0,52485.0,6630.0,40915.0,1801435.0,427750.0,596720.0,404680.0,174310.0,197935.0
Eastern Ontario,2196966.0,995953.0,904781.0,2196955.0,338005.0,101680.0,115855.0,120490.0,1393285.0,118075.0,129895.0,138645.0,139330.0,136480.0,128175.0,130570.0,139755.0,167910.0,164375.0,465680.0,143410.0,124515.0,84435.0,55910.0,57410.0,,,904790.0,532835.0,42470.0,108190.0,20790.0,98755.0,95615.0,1915.0,4225.0,904735.0,255700.0,334700.0,130725.0,116450.0,67245.0,,,,,,1817170.0,577465.0,1239705.0,185945.0,93800.0,135030.0,102835.0,100980.0,98510.0,93170.0,84225.0,68560.0,58870.0,52200.0,165555.0,83445.0,82110.0,,,,,904730.0,8185.0,4645.0,10760.0,16545.0,30650.0,27160.0,25895.0,29820.0,30800.0,30460.0,61585.0,62020.0,59995.0,57110.0,52710.0,396505.0,111840.0,83345.0,102415.0,98915.0,2154810.0,210520.0,,2170425.0,1566485.0,25390.0,560260.0,18295.0,904875.0,628630.0,275775.0,904875.0,85005.0,819850.0,904875.0,5570.0,104870.0,206225.0,352000.0,236105.0,904875.0,208355.0,250375.0,129495.0,99750.0,53365.0,54435.0,51330.0,57690.0,904875.0,847805.0,57060.0,892040.0,721555.0,170475.0,619950.0,,,,,,,275135.0,,,,,2154995.0,1764350.0,353235.0,56070.0,37415.0,2155000.0,388195.0,1766810.0,2053365.0,1240865.0,812500.0,356250.0,456255.0,1134095.0,86600.0,269405.0,778070.0,62945.0,302885.0,392085.0,244270.0,98725.0,18255.0,1817135.0,1113275.0,997250.0,116000.0,703860.0,,,,997225.0,320135.0,562745.0,673995.0,574520.0,525950.0,48615.0,37195.0,38850.0,6675.0,16760.0,673995.0,219625.0,240080.0,123125.0,45340.0,45805.0
Eastern Quebec,2240790.0,1128061.0,1033215.0,2240795.0,346870.0,104850.0,119650.0,122320.0,1350080.0,105515.0,107470.0,124720.0,128115.0,134550.0,142715.0,124435.0,128285.0,168350.0,185955.0,543785.0,169445.0,143310.0,103190.0,64050.0,63775.0,,,1033255.0,567630.0,58130.0,19020.0,64820.0,276170.0,30625.0,4825.0,11960.0,1033235.0,380290.0,383920.0,116210.0,103155.0,49645.0,,,,,,1831985.0,557130.0,1274820.0,160855.0,97520.0,158570.0,133665.0,137275.0,139375.0,113420.0,86175.0,65505.0,55580.0,35330.0,91615.0,48520.0,43065.0,,,,,1033250.0,6540.0,5250.0,14100.0,23135.0,67575.0,39835.0,41295.0,53590.0,52055.0,49285.0,90425.0,79030.0,70965.0,65010.0,57490.0,317510.0,113890.0,75345.0,78575.0,49705.0,2178405.0,251515.0,,2212755.0,15460.0,1517775.0,674215.0,5310.0,1033250.0,669760.0,360340.0,1033250.0,102375.0,930810.0,1033250.0,5595.0,144190.0,315790.0,338930.0,228595.0,1033250.0,255230.0,316550.0,140025.0,105785.0,45880.0,58000.0,58005.0,53805.0,1033250.0,976130.0,57125.0,1017165.0,897100.0,120035.0,661200.0,,,,,,,358380.0,,,,,2178510.0,2072645.0,78670.0,19385.0,27075.0,2178560.0,87505.0,2090960.0,2073750.0,1359485.0,714200.0,347370.0,366820.0,1127795.0,134050.0,180605.0,813040.0,272595.0,238450.0,263645.0,169860.0,55275.0,9775.0,1832080.0,1133450.0,1059850.0,73635.0,698655.0,,,,1059795.0,190280.0,757020.0,868110.0,768250.0,728545.0,39675.0,29220.0,49415.0,6635.0,14440.0,868110.0,376870.0,309315.0,118470.0,33760.0,29710.0
Manitoba,1342153.0,571528.0,518054.0,1342135.0,252925.0,80450.0,86250.0,86230.0,860165.0,80910.0,91415.0,90470.0,91845.0,90120.0,84525.0,80250.0,78215.0,87290.0,85170.0,229050.0,73065.0,59940.0,39865.0,26900.0,29215.0,,,518060.0,343980.0,18150.0,19735.0,7415.0,74875.0,43670.0,605.0,9570.0,518060.0,146200.0,173965.0,74620.0,69475.0,53710.0,,,,,,1058310.0,315080.0,743230.0,96960.0,59885.0,92520.0,78840.0,77560.0,73810.0,59950.0,48135.0,37680.0,31700.0,25555.0,60655.0,31430.0,29225.0,,,,,518020.0,6280.0,4135.0,7655.0,7960.0,20065.0,18970.0,17555.0,19835.0,21195.0,20690.0,40340.0,38815.0,36675.0,33840.0,31625.0,192220.0,62870.0,43955.0,49310.0,36115.0,1307100.0,185150.0,,1326830.0,1197535.0,1670.0,110445.0,17150.0,518040.0,349320.0,156480.0,518040.0,41675.0,476310.0,518040.0,5030.0,67110.0,129770.0,184600.0,131525.0,518040.0,137215.0,157150.0,65055.0,43775.0,21045.0,26865.0,30880.0,35905.0,518040.0,478440.0,39610.0,492895.0,407540.0,85360.0,338905.0,,,,,,,155055.0,,,,,1307175.0,1015275.0,257615.0,58310.0,34255.0,1307180.0,290720.0,1016475.0,1228140.0,754015.0,474130.0,249900.0,224230.0,675690.0,82975.0,191810.0,400930.0,48305.0,136485.0,194585.0,138110.0,32240.0,4665.0,1058425.0,681530.0,625100.0,56350.0,376940.0,,,,625125.0,106555.0,438725.0,517095.0,445085.0,401755.0,43305.0,29350.0,27405.0,5365.0,9825.0,517095.0,187365.0,191325.0,90010.0,25485.0,22910.0
Metropolitan Montreal,2442630.0,1153081.0,1080144.0,2442645.0,384975.0,120420.0,132470.0,132135.0,1624400.0,123565.0,165245.0,190400.0,182060.0,176220.0,172030.0,155680.0,153265.0,158080.0,147840.0,433265.0,122720.0,105235.0,78560.0,58395.0,68200.0,,,1080115.0,176635.0,47775.0,38995.0,115295.0,531615.0,165525.0,3780.0,465.0,1080165.0,414800.0,324150.0,144415.0,125765.0,71025.0,,,,,,2004560.0,596885.0,1407705.0,202165.0,133850.0,182120.0,140240.0,132390.0,128490.0,104600.0,82640.0,65710.0,57785.0,38975.0,138635.0,58745.0,79915.0,,,,,1080165.0,19235.0,10910.0,19140.0,28200.0,64895.0,46510.0,45785.0,47890.0,49360.0,47565.0,88005.0,79670.0,72385.0,65210.0,56155.0,339225.0,107310.0,71695.0,79835.0,80475.0,2388890.0,359400.0,,2414665.0,287555.0,625065.0,1447075.0,54940.0,1080130.0,473140.0,607030.0,1080130.0,223895.0,856275.0,1080130.0,20375.0,288785.0,354585.0,283460.0,132970.0,1080130.0,349045.0,338135.0,129715.0,83935.0,43950.0,45055.0,44295.0,46010.0,1080130.0,994545.0,85625.0,1071745.0,826000.0,245770.0,473075.0,,,,,,,607015.0,,,,,2388940.0,1457300.0,788085.0,130235.0,143585.0,2388930.0,877805.0,1511100.0,2268700.0,1307140.0,961610.0,493860.0,467735.0,1325800.0,127780.0,202245.0,995740.0,144915.0,217710.0,572610.0,324690.0,151035.0,25740.0,2004555.0,1314195.0,1183775.0,130420.0,690340.0,,,,1183765.0,347220.0,720915.0,832865.0,533175.0,494615.0,38555.0,196410.0,65520.0,22255.0,15520.0,832865.0,158380.0,303515.0,217290.0,82540.0,71120.0
Metropolitan Toronto,2794323.0,1253226.0,1160880.0,2794335.0,384265.0,123550.0,129045.0,131730.0,1933055.0,134795.0,185665.0,243945.0,246770.0,213820.0,185825.0,175885.0,184060.0,191375.0,170945.0,476970.0,141495.0,118945.0,81920.0,62765.0,71870.0,,,1160875.0,270470.0,71915.0,62910.0,47820.0,162265.0,542595.0,2770.0,75.0,1160875.0,385760.0,353420.0,178230.0,147340.0,96120.0,,,,,,2377890.0,749030.0,1628845.0,233530.0,149805.0,182785.0,134370.0,131140.0,128945.0,117225.0,98360.0,81680.0,69905.0,61540.0,239510.0,94915.0,144625.0,,,,,1160875.0,21970.0,10695.0,18330.0,23965.0,52155.0,40025.0,38250.0,39540.0,39315.0,39325.0,78890.0,77160.0,72500.0,68890.0,62470.0,477405.0,126790.0,90810.0,112050.0,147755.0,2761240.0,363920.0,,2772575.0,2409620.0,2570.0,236935.0,123490.0,1160850.0,602935.0,557955.0,1160850.0,353235.0,807635.0,1160850.0,28785.0,330335.0,334330.0,268515.0,198960.0,1160850.0,340200.0,334000.0,109780.0,92980.0,58995.0,63965.0,76020.0,84990.0,1160850.0,1086370.0,74490.0,1151790.0,777850.0,373925.0,602920.0,,,,,,,557985.0,,,,,2761215.0,1329870.0,1286110.0,198025.0,145210.0,2761200.0,1537240.0,1224015.0,2637875.0,1664200.0,973575.0,530755.0,442830.0,1602560.0,137135.0,304140.0,1161315.0,53045.0,268085.0,791290.0,491210.0,204365.0,27020.0,2377915.0,1518410.0,1308060.0,210305.0,859540.0,,,,1308105.0,510245.0,649145.0,791435.0,482495.0,424985.0,57475.0,207670.0,60615.0,15740.0,24905.0,791435.0,130390.0,251795.0,221980.0,88635.0,98645.0
New Brunswick,775610.0,366146.0,337651.0,775620.0,111145.0,32270.0,38190.0,40585.0,487320.0,39065.0,42130.0,42385.0,43520.0,45950.0,47340.0,50135.0,52165.0,62335.0,62410.0,177145.0,57195.0,48840.0,31705.0,20435.0,19030.0,,,337645.0,228945.0,13500.0,9705.0,13890.0,52015.0,4235.0,1110.0,14220.0,337655.0,100545.0,133100.0,49345.0,37175.0,17440.0,,,,,,648320.0,213425.0,434860.0,55140.0,36995.0,59455.0,49115.0,50590.0,44760.0,34330.0,27245.0,20825.0,17445.0,11425.0,27485.0,14205.0,13275.0,,,,,337665.0,2585.0,3510.0,4985.0,5230.0,20150.0,13070.0,15170.0,17010.0,16505.0,15155.0,28720.0,26855.0,24815.0,22615.0,19300.0,102085.0,36575.0,24245.0,25150.0,16055.0,759205.0,107960.0,,764625.0,442395.0,60145.0,260150.0,1890.0,337670.0,246460.0,88475.0,337670.0,13085.0,324455.0,337670.0,1025.0,32580.0,97225.0,128195.0,78535.0,337670.0,74100.0,101105.0,47350.0,42125.0,18980.0,21750.0,17460.0,14765.0,337670.0,311380.0,26205.0,332185.0,289260.0,42895.0,245110.0,,,,,,,88180.0,,,,,759210.0,704205.0,44130.0,15915.0,10725.0,759180.0,44150.0,714960.0,726910.0,468760.0,258160.0,86045.0,172075.0,400950.0,44035.0,115010.0,242010.0,31495.0,108730.0,94105.0,65460.0,18150.0,2500.0,648260.0,389465.0,349195.0,40280.0,258770.0,,,,349185.0,55655.0,246285.0,292720.0,269185.0,245725.0,23490.0,4235.0,12295.0,1040.0,5730.0,292720.0,131500.0,104680.0,34780.0,11170.0,10495.0
Newfoundland and Labrador,510550.0,269184.0,223253.0,510550.0,68185.0,18980.0,23015.0,26160.0,321755.0,25705.0,26080.0,25055.0,27525.0,29430.0,30905.0,33990.0,38375.0,42170.0,42515.0,120605.0,40435.0,34395.0,22360.0,13245.0,10160.0,,,223265.0,161420.0,8705.0,10780.0,27500.0,12335.0,805.0,400.0,1285.0,223270.0,62275.0,90945.0,35080.0,25550.0,9395.0,,,,,,433955.0,152510.0,281455.0,43605.0,24045.0,39060.0,29505.0,24915.0,23165.0,18875.0,15365.0,12825.0,10875.0,10065.0,29125.0,13090.0,16020.0,,,,,223260.0,1235.0,1950.0,3950.0,4240.0,13545.0,8975.0,11200.0,11930.0,9885.0,9105.0,17270.0,15905.0,14840.0,13505.0,11850.0,73905.0,23080.0,16105.0,19065.0,15660.0,502110.0,76355.0,,504805.0,477900.0,120.0,25930.0,835.0,223245.0,169040.0,53705.0,223245.0,5530.0,217715.0,223245.0,360.0,13050.0,52970.0,102545.0,54245.0,223245.0,40640.0,71165.0,33070.0,26085.0,12135.0,14830.0,15965.0,9330.0,223245.0,211045.0,12195.0,221800.0,189425.0,32370.0,168665.0,,,,,,,53615.0,,,,,502105.0,482605.0,14245.0,4255.0,5185.0,502120.0,16860.0,485240.0,483180.0,342915.0,140230.0,52795.0,87475.0,267780.0,33810.0,65255.0,168735.0,30030.0,77270.0,55785.0,35895.0,13890.0,1850.0,433965.0,243310.0,206300.0,37050.0,190640.0,,,,206295.0,26785.0,147890.0,179060.0,159130.0,143955.0,15180.0,3580.0,8660.0,200.0,7425.0,179060.0,92050.0,55735.0,15830.0,5105.0,10315.0
