"Year","Election Date","Election Type","Votes Cast","Electoral District","Party","Candidate","Plurality",
"2018","June 07, 2018","General Election","220","001 - Ajax","IND","Kevin J. Brackley","0",
"2018","June 07, 2018","General Election","12607","001 - Ajax","LIB","Joe Dickson","0",
"2018","June 07, 2018","General Election","312","001 - Ajax","LTN","Marsha Haynes","0",
"2018","June 07, 2018","General Election","15130","001 - Ajax","NDP","Monique Hughes","0",
"2018","June 07, 2018","General Election","19078","001 - Ajax","PCP","Rod Phillips","3948",
"2018","June 07, 2018","General Election","289","001 - Ajax","NAP","Frank Lopez","0",
"2018","June 07, 2018","General Election","1224","001 - Ajax","GPO","Stephen Leahy","0",
"2018","June 07, 2018","General Election","1366","002 - Algoma—Manitoulin","NRT","Tommy Lee","0",
"2018","June 07, 2018","General Election","207","002 - Algoma—Manitoulin","LTN","Kalena Mallon-Ferguson","0",
"2018","June 07, 2018","General Election","17105","002 - Algoma—Manitoulin","NDP","Michael Mantha","9962",
"2018","June 07, 2018","General Election","1025","002 - Algoma—Manitoulin","GPO","Justin Tilson","0",
"2018","June 07, 2018","General Election","7143","002 - Algoma—Manitoulin","PCP","Jib Turner","0",
"2018","June 07, 2018","General Election","2365","002 - Algoma—Manitoulin","LIB","Charles Fox","0",
"2018","June 07, 2018","General Election","218","003 - Aurora—Oak Ridges—Richmond Hill","NAP","Santiago Amesh Desilva","0",
"2018","June 07, 2018","General Election","313","003 - Aurora—Oak Ridges—Richmond Hill","LTN","Serge Korovitsyn","0",
"2018","June 07, 2018","General Election","25214","003 - Aurora—Oak Ridges—Richmond Hill","PCP","Michael Parsa","15496",
"2018","June 07, 2018","General Election","9718","003 - Aurora—Oak Ridges—Richmond Hill","LIB","Naheed Yaqubian","0",
"2018","June 07, 2018","General Election","67","003 - Aurora—Oak Ridges—Richmond Hill","SRP","Abu Alam","0",
"2018","June 07, 2018","General Election","86","003 - Aurora—Oak Ridges—Richmond Hill","MOD","Margarita Barsky","0",
"2018","June 07, 2018","General Election","71","003 - Aurora—Oak Ridges—Richmond Hill","FRE","Janusz Butylkin","0",
"2018","June 07, 2018","General Election","8116","003 - Aurora—Oak Ridges—Richmond Hill","NDP","Katrina Sale","0",
"2018","June 07, 2018","General Election","1195","003 - Aurora—Oak Ridges—Richmond Hill","GPO","Stephanie Nicole Duncan","0",
"2018","June 07, 2018","General Election","396","004 - Barrie—Innisfil","LTN","Brett Dorion","0",
"2018","June 07, 2018","General Election","12661","004 - Barrie—Innisfil","NDP","Pekka Reinio","0",
"2018","June 07, 2018","General Election","118","004 - Barrie—Innisfil","TRI","Stacey Surkova","0",
"2018","June 07, 2018","General Election","184","004 - Barrie—Innisfil","CCP","Jake Tucker","0",
"2018","June 07, 2018","General Election","22121","004 - Barrie—Innisfil","PCP","Andrea Khanjin","9460",
"2018","June 07, 2018","General Election","3190","004 - Barrie—Innisfil","GPO","Bonnie North","0",
"2018","June 07, 2018","General Election","5543","004 - Barrie—Innisfil","LIB","Ann Hoggarth","0",
"2018","June 07, 2018","General Election","59","004 - Barrie—Innisfil","MOD","Alexander Ryzhykh","0",
"2018","June 07, 2018","General Election","5354","005 - Barrie—Springwater—Oro-Medonte","GPO","Keenan Aylwin","0",
"2018","June 07, 2018","General Election","20445","005 - Barrie—Springwater—Oro-Medonte","PCP","Doug Downey","7554",
