"Year","Election Date","Election Type","Votes Cast","Number of Seats","Number of Candidates","Registered Voters","Voter Turnout","Rejected Ballots","Unmarked Ballots","Declined Ballots","Valid Ballots",
"1981","March 19, 1981","General Election","3182484","125","436","5519204","3203281","13114","5098","2585","3182484",
"1985","May 02, 1985","General Election","3635699","125","442","5950295","3662133","15243","5481","5710","3635699",
"1987","September 10, 1987","General Election","3777311","130","495","6067378","3803969","17955","5657","3046","3777311",
"1990","September 06, 1990","General Election","4018079","130","615","6315949","4070654","21134","10646","20795","4018079",
"1995","June 08, 1995","General Election","4158370","130","651","6667798","4200522","26526","10038","5588","4158370",
"1999","June 03, 1999","General Election","4390207","103","568","7598407","4430611","27708","9132","3564","4390207",
"2003","October 02, 2003","General Election","4497244","103","522","7962607","4528167","20679","7613","2631","4497244",
"2007","October 10, 2007","General Election","4423898","107","599","8557653","4457829","19654","10865","3412","4423898",
"2011","October 06, 2011","General Election","4316382","107","655","9000375","4336817","12892","5208","2335","4316382",
"2014","June 12, 2014","General Election","4820547","107","615","9526031","4885493","22885","12124","29937","4820547",
"2018","June 07, 2018","General Election","5744860","124","823","10246066","5806286","15832","22910","22684","5744860",
"2022","June 02, 2022","General Election","4701959","124","897","10740426","4732476","15587","10685","4245","4701959",
"2025","February 27, 2025","General Election","5022142","124","768","11183586","5056933","17789","11296","5706","5022142",
