ward,name,Sector,Shape__Area,year,Mayor_Registered,Mayor_Votes,Mayor_Winner,Mayor_Win_Name,Council_Registered,Council_Votes,Council_Winner,Council_Win_Name
1,Orléans East-Cumberland,Suburban,110545085.2,2022,"38,618","14,769","9,296",Mark Sutcliffe,"38,618","16,426","11,918","Matthew Luloff
 "
2,Orléans West-Innes,Suburban,63777859.96,2022,"37,347","15,684","9,203",Mark Sutcliffe,"37,347","16,889","11,821","Laura Dudas
 "
3,Barrhaven West,Suburban,56118523.54,2022,"31,446","12,322","7,595",Mark Sutcliffe,"31,446","14,406","6,230","David Hill
 "
4,Kanata North,Suburban,52995709.75,2022,"27,108","10,709","6,463",Mark Sutcliffe,"27,108","11,803","8,827","Cathy Curry
 "
5,West Carleton-March,Rural,1550245091,2022,"20,113","9,015","6,362",Mark Sutcliffe,"20,113","9,441","2,549","Clarke Kelly
 "
6,Stittsville,Suburban,51806761.89,2022,"29,298","11,543","7,297",Mark Sutcliffe,"29,298","13,357","7,758","Glen Gower
 "
7,Bay,Urban,132819473.5,2022,"35,473","14,435","6,582",Mark Sutcliffe,"35,473","15,527","12,398","Theresa Kavanagh
 "
8,College,Urban,92936792.02,2022,"36,958","15,917","8,204",Mark Sutcliffe,"36,958","17,333","8,899","Laine Johnson
 "
9,Knoxdale-Merivale,Urban,95616904.8,2022,"27,650","11,392","6,489",Mark Sutcliffe,"27,650","12,594","4,812","Sean Devine
 "
10,Gloucester-Southgate,Urban,161233561,2022,"32,139","10,538","5,197",Mark Sutcliffe,"32,139","12,059","4,927","Jessica Bradley
 "
11,Beacon Hill-Cyrville,Urban,39161245.79,2022,"23,452","8,937","4,501",Mark Sutcliffe,"23,452","9,567","7,617","Tim Tierney
 "
12,Rideau-Vanier,Urban,18306865.53,2022,"34,574","11,660","6,676",Catherine McKenney,"34,574","12,854","4,621","Stéphanie Plante
 "
13,Rideau-Rockcliffe,Urban,37946874.57,2022,"28,220","10,171","4,679",Catherine McKenney,"28,220","11,226","8,491","Rawlson King
 "
14,Somerset,Urban,13126980.11,2022,"32,787","12,917","9,423",Catherine McKenney,"32,787","14,832","8,663","Ariel Troster
 "
15,Kitchissippi,Urban,23509516.66,2022,"29,621","14,769","9,128",Catherine McKenney,"29,621","15,693","11,045","Jeff Leiper
 "
16,River,Urban,48377463.66,2022,"33,024","12,559","5,723",Mark Sutcliffe,"33,024","13,560","9,595","Riley Brockington
 "
17,Capital,Urban,22194763.65,2022,"28,834","13,628","8,448",Catherine McKenney,"28,834","14,784","11,358","Shawn Menard
 "
18,Alta Vista,Urban,40856945.77,2022,"31,008","12,566","5,757",Mark Sutcliffe,"31,008","13,360","6,088","Marty Carr
 "
19,Orléans South-Navan,Suburban,399247111.9,2022,"32,023","10,828","6,616",Mark Sutcliffe,"32,023","12,558","9,466","Catherine Kitts
 "
20,Osgoode,Rural,1245240405,2022,"23,354","10,447","7,771",Mark Sutcliffe,"23,354","10,780","4,353","George Darouze
 "
21,Rideau-Jock,Rural,1461228177,2022,"21,966","10,132","7,414",Mark Sutcliffe,"21,966","10,561","6,898","David Brown
 "
22,Riverside South-Findlay Creek,Suburban,69465003.27,2022,"19,822","8,008","4,595",Mark Sutcliffe,"19,822","8,508","5,684","Steve Desroches
 "
23,Kanata South,Suburban,33844909.84,2022,"36,085","14,672","8,452",Mark Sutcliffe,"36,085","15,892","5,334","Allan Hubley
 "
24,Barrhaven East,Suburban,27843675.51,2022,"31,307","11,076","6,487",Mark Sutcliffe,"31,307","12,244","4,403","Wilson Lo
 "
1,,,,2018,"35,622","14,521","11,203",Jim Watson,"35,622","15,368","3,622",Matthew Luloff
2,,,,2018,"29,635","12,272","9,261",Jim Watson,"29,635","12,970","5,325",Laura Dudas
3,,,,2018,"36,389","14,229","11,044",Jim Watson,"36,389","15,542","11,489",Jan Harder
4,,,,2018,"23,666","10,387","7,606",Jim Watson,"23,666","11,410","5,298",Jenna Sudds
5,,,,2018,"18,123","7,452","5,429",Jim Watson,"18,123","7,756","5,099",Eli El-Chantiry
6,,,,2018,"21,937","9,736","7,215",Jim Watson,"21,937","10,172","5,877",Glen Gower
7,,,,2018,"28,967","11,613","7,946",Jim Watson,"28,967","12,059","6,509",Theresa Kavanagh
8,,,,2018,"34,010","14,101","10,068",Jim Watson,"34,010","15,238","7,079",Rick Chiarelli
9,,,,2018,"25,582","9,592","7,047",Jim Watson,"25,582","10,240","6,369",Keith Egli
10,,,,2018,"29,111","9,496","6,665",Jim Watson,"29,111","11,119","6,179",Diane Deans
11,,,,2018,"22,181","8,229","5,799",Jim Watson,"22,181","8,443","6,730",Tim Tierney
12,,,,2018,"28,970","10,440","4,869",Jim Watson,"28,970","10,875","7,302",Mathieu Fleury
13,,,,2018,"25,460","9,229","5,120",Jim Watson,"25,460","9,458","7,334",Tobi Nussbaum
14,,,,2018,"26,320","9,381","5,424",Jim Watson,"26,320","10,290","7,754",Catherine McKenney
15,,,,2018,"29,481","13,897","8,719",Jim Watson,"29,481","14,409","12,068",Jeff Leiper
16,,,,2018,"29,762","10,966","7,682",Jim Watson,"29,762","11,472","6,122",Riley Brockington
17,,,,2018,"24,617","12,331","6,890",Jim Watson,"24,617","12,834","3,575",Shawn Menard
