venue,Capacity,Latitude,Longitude
3M Arena at Mariucci | Minneapolis,"10,257",44.97813084,-93.22805047
Agganis Arena | Boston,"6,150",42.35240355,-71.1177052
Allstate Arena | Chicago,"16,692",42.00537859,-87.8879051
American Airlines Center | Dallas,"18,532",32.79051707,-96.81024397
Ball Arena | Denver,"18,007",39.7486519,-105.0074808
Bell Centre | Montréal,"21,105",45.49627727,-73.56929384
Canada Life Centre | Winnipeg,"15,321",49.89271511,-97.14349689
Canadian Tire Centre | Ottawa,"18,655",45.2971566,-75.92688737
Capital One Arena | Washington,"18,573",38.89824265,-77.02083534
Climate Pledge Arena | Seattle,"17,151",47.62233163,-122.3540499
Coca-Cola Coliseum | Toronto,"8,140",43.63516621,-79.41536182
Codey Arena,"2,500",40.76958293,-74.2819612
Enterprise Center | St. Louis,"18,096",38.62714194,-90.20265684
Ford Performance Centre | Toronto,"1,000",43.60317911,-79.52014844
Grand Casino Arena | St. Paul,"17,954",44.94497277,-93.10113886
KeyBank Center | Buffalo,"19,070",42.87521476,-78.87653317
Lenovo Center | Raleigh,"18,299",35.80342152,-78.7216992
Little Caesars Arena | Detroit,"19,515",42.34201804,-83.0546611
Mattamy Athletic Centre | Toronto,"2,539",43.66234676,-79.38032017
NA,,,
Pacific Coliseum | Vancouver,"16,281",49.28593157,-123.0427091
Place Bell | Laval,"10,062",45.5563173,-73.72118658
PPG Paints Arena | Pittsburgh,"18,087",40.43945668,-79.98953144
Prudential Center | Newark,"16,514",40.73379715,-74.17113027
Rogers Arena | Vancouver,"18,910",49.27808778,-123.1088227
Rogers Place | Edmonton,"18,347",53.54720499,-113.4976931
Scotiabank Arena | Toronto,"18,800",43.64357477,-79.37907745
Scotiabank Centre | Halifax,"10,595",44.64867791,-63.57689944
Scotiabank Saddledome | Calgary,"19,289",51.03758877,-114.0519126
TBD,,,
TD Coliseum | Hamilton,"17,383",43.25912156,-79.87218563
TD Place | Ottawa,"9,274",45.39901381,-75.6840556
Total Mortgage Arena | Bridgeport,"8,412",41.17337261,-73.18703409
Tsongas Center | Lowell,"6,500",42.64981837,-71.31276819
UBS Arena | Elmont,"17,255",40.71191209,-73.72606126
Utica University Nexus Center - Mastrovito Hyundai,,,
Verdun Auditorium | Montreal,"4,114",45.4627976,-73.56184297
Videotron Centre | Quebec City,"18,259",46.82906535,-71.2482657
Xcel Energy Center,"17,954",44.94497277,-93.10113886
