gMonth,id,home_team,visiting_team,date_played,home,shots,goalie,home_team_code,home_team_name,home_division,visiting_team_code,visiting_team_name,visiting_division,goals,ice_time_minutes_seconds,hits,shots_blocked_by_player,plusminus,assists,shootout_goals,shootout_attempts,shootout_goals_win,shootout_shots,penalty_minutes,shooting_percentage,shootout_shots_percentage,points,player_team,plus_minus,power_play_goals,short_handed_goals,empty_net_goals,insurange_goals,game_winning_goals,first_goals_scored,game_tieing_goals,faceoffs_taken,faceoffs_won,ice_time_seconds,season_id,player_id,game_id
January,2,6,4,2024-01-01,1,2,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,26:41,0,0,-2,0,0,0,0,0,0,0,0,0,6,-2,0,0,0,0,0,0,0,0,0,1601,1,71,2
January,5,4,6,2024-01-05,0,5,0,NY,PWHL New York,PWHL,TOR,PWHL Toronto,PWHL,0,31:07,0,0,NA,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1867,1,71,5
January,8,2,6,2024-01-10,0,3,0,MIN,PWHL Minnesota,PWHL,TOR,PWHL Toronto,PWHL,0,28:49,0,0,-1,0,0,0,0,0,0,0,0,0,6,-1,0,0,0,0,0,0,0,0,0,1729,1,71,8
January,10,6,5,2024-01-13,1,2,0,TOR,PWHL Toronto,PWHL,OTT,PWHL Ottawa,PWHL,0,25:57,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1557,1,71,10
January,14,6,1,2024-01-17,1,2,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,31:06,0,0,1,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1866,1,71,14
January,17,3,6,2024-01-20,0,1,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,1,32:18,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,1938,1,71,17
January,18,5,6,2024-01-23,0,2,0,OTT,PWHL Ottawa,PWHL,TOR,PWHL Toronto,PWHL,0,28:43,0,0,-1,0,0,0,0,0,0,0,0,0,6,-1,0,0,0,0,0,0,0,0,0,1723,1,71,18
January,21,6,4,2024-01-26,1,2,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,30:11,0,0,1,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1811,1,71,21
February,25,6,2,2024-02-03,1,3,0,TOR,PWHL Toronto,PWHL,MIN,PWHL Minnesota,PWHL,0,21:42,0,0,2,1,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,1302,1,71,25
February,29,1,6,2024-02-14,0,0,0,BOS,PWHL Boston,PWHL,TOR,PWHL Toronto,PWHL,0,27:14,3,2,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1634,1,71,29
February,30,6,3,2024-02-16,1,2,0,TOR,PWHL Toronto,PWHL,MTL,PWHL Montreal,PWHL,0,27:00,1,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1620,1,71,30
February,36,6,4,2024-02-23,1,1,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,31:20,1,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1880,1,71,36
February,40,2,6,2024-02-27,0,0,0,MIN,PWHL Minnesota,PWHL,TOR,PWHL Toronto,PWHL,0,26:01,1,1,1,2,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,1561,1,71,40
March,41,5,6,2024-03-02,0,0,0,OTT,PWHL Ottawa,PWHL,TOR,PWHL Toronto,PWHL,0,23:23,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1403,1,71,41
March,45,6,1,2024-03-06,1,1,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,39:15,0,3,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2355,1,71,45
March,47,6,3,2024-03-08,1,3,0,TOR,PWHL Toronto,PWHL,MTL,PWHL Montreal,PWHL,0,28:20,4,1,NA,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1700,1,71,47
March,66,3,6,2024-03-17,0,5,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,0,24:16,0,1,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1456,1,71,66
March,52,6,1,2024-03-20,1,1,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,26:09,3,0,NA,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1569,1,71,52
April,57,1,6,2024-04-18,0,1,0,BOS,PWHL Boston,PWHL,TOR,PWHL Toronto,PWHL,0,23:12,0,0,-1,1,0,0,0,0,0,0,0,1,6,-1,0,0,0,0,0,0,0,0,0,1392,1,71,57
April,67,3,6,2024-04-20,0,2,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,0,28:47,1,4,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1727,1,71,67
April,61,4,6,2024-04-28,0,1,0,NY,PWHL New York,PWHL,TOR,PWHL Toronto,PWHL,0,30:18,2,1,1,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1818,1,71,61
May,63,6,2,2024-05-01,1,1,0,TOR,PWHL Toronto,PWHL,MIN,PWHL Minnesota,PWHL,0,23:04,0,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1384,1,71,63
May,72,6,5,2024-05-05,1,2,0,TOR,PWHL Toronto,PWHL,OTT,PWHL Ottawa,PWHL,0,28:02,2,2,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1682,1,71,72
January,2,6,4,2024-01-01,1,0,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,12:03,0,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,723,1,133,2
January,5,4,6,2024-01-05,0,2,0,NY,PWHL New York,PWHL,TOR,PWHL Toronto,PWHL,0,14:28,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,868,1,133,5
January,8,2,6,2024-01-10,0,0,0,MIN,PWHL Minnesota,PWHL,TOR,PWHL Toronto,PWHL,0,13:25,0,0,-1,0,0,0,0,0,0,0,0,0,6,-1,0,0,0,0,0,0,0,0,0,805,1,133,8
January,10,6,5,2024-01-13,1,0,0,TOR,PWHL Toronto,PWHL,OTT,PWHL Ottawa,PWHL,0,11:52,0,0,-2,0,0,0,0,0,0,0,0,0,6,-2,0,0,0,0,0,0,0,0,0,712,1,133,10
January,14,6,1,2024-01-17,1,0,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,7:08,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,428,1,133,14
January,17,3,6,2024-01-20,0,0,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,0,13:04,0,0,NA,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,784,1,133,17
January,18,5,6,2024-01-23,0,0,0,OTT,PWHL Ottawa,PWHL,TOR,PWHL Toronto,PWHL,0,9:21,0,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,561,1,133,18
January,21,6,4,2024-01-26,1,0,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,8:36,0,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,516,1,133,21
February,25,6,2,2024-02-03,1,0,0,TOR,PWHL Toronto,PWHL,MIN,PWHL Minnesota,PWHL,0,13:40,0,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,820,1,133,25
February,29,1,6,2024-02-14,0,1,0,BOS,PWHL Boston,PWHL,TOR,PWHL Toronto,PWHL,0,16:46,3,1,2,1,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,1006,1,133,29
February,30,6,3,2024-02-16,1,0,0,TOR,PWHL Toronto,PWHL,MTL,PWHL Montreal,PWHL,0,11:16,1,2,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,676,1,133,30
February,36,6,4,2024-02-23,1,0,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,10:59,0,1,NA,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,659,1,133,36
February,40,2,6,2024-02-27,0,0,0,MIN,PWHL Minnesota,PWHL,TOR,PWHL Toronto,PWHL,0,13:54,2,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,834,1,133,40
March,41,5,6,2024-03-02,0,0,0,OTT,PWHL Ottawa,PWHL,TOR,PWHL Toronto,PWHL,0,9:33,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,573,1,133,41
March,45,6,1,2024-03-06,1,2,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,10:08,1,1,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,608,1,133,45
March,47,6,3,2024-03-08,1,2,0,TOR,PWHL Toronto,PWHL,MTL,PWHL Montreal,PWHL,0,9:26,5,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,566,1,133,47
March,66,3,6,2024-03-17,0,0,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,0,12:17,0,1,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,737,1,133,66
March,52,6,1,2024-03-20,1,1,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,10:26,1,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,626,1,133,52
March,54,5,6,2024-03-23,0,0,0,OTT,PWHL Ottawa,PWHL,TOR,PWHL Toronto,PWHL,0,18:41,0,1,-1,0,0,0,0,0,2,0,0,0,6,-1,0,0,0,0,0,0,0,0,0,1121,1,133,54
April,57,1,6,2024-04-18,0,1,0,BOS,PWHL Boston,PWHL,TOR,PWHL Toronto,PWHL,0,15:25,1,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,925,1,133,57
April,67,3,6,2024-04-20,0,0,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,0,10:06,0,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,606,1,133,67
April,61,4,6,2024-04-28,0,2,0,NY,PWHL New York,PWHL,TOR,PWHL Toronto,PWHL,0,15:40,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,940,1,133,61
May,63,6,2,2024-05-01,1,0,0,TOR,PWHL Toronto,PWHL,MIN,PWHL Minnesota,PWHL,0,14:22,2,1,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,862,1,133,63
May,72,6,5,2024-05-05,1,1,0,TOR,PWHL Toronto,PWHL,OTT,PWHL Ottawa,PWHL,0,10:51,2,1,NA,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,651,1,133,72
January,2,6,4,2024-01-01,1,1,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,21:39,0,0,-1,0,0,0,0,0,0,0,0,0,6,-1,0,0,0,0,0,0,0,0,0,1299,1,68,2
January,5,4,6,2024-01-05,0,1,0,NY,PWHL New York,PWHL,TOR,PWHL Toronto,PWHL,0,18:39,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1119,1,68,5
January,8,2,6,2024-01-10,0,3,0,MIN,PWHL Minnesota,PWHL,TOR,PWHL Toronto,PWHL,0,16:29,0,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,989,1,68,8
January,10,6,5,2024-01-13,1,1,0,TOR,PWHL Toronto,PWHL,OTT,PWHL Ottawa,PWHL,0,20:12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1212,1,68,10
January,14,6,1,2024-01-17,1,1,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,24:27,0,0,-2,0,0,0,0,0,0,0,0,0,6,-2,0,0,0,0,0,0,0,0,0,1467,1,68,14
January,17,3,6,2024-01-20,0,1,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,0,17:14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1034,1,68,17
January,18,5,6,2024-01-23,0,1,0,OTT,PWHL Ottawa,PWHL,TOR,PWHL Toronto,PWHL,0,22:42,0,0,-2,0,0,0,0,0,0,0,0,0,6,-2,0,0,0,0,0,0,0,0,0,1362,1,68,18
January,21,6,4,2024-01-26,1,0,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,18:22,0,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1102,1,68,21
February,25,6,2,2024-02-03,1,1,0,TOR,PWHL Toronto,PWHL,MIN,PWHL Minnesota,PWHL,0,21:34,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1294,1,68,25
February,29,1,6,2024-02-14,0,1,0,BOS,PWHL Boston,PWHL,TOR,PWHL Toronto,PWHL,1,19:15,0,2,-1,0,0,0,0,0,0,1,0,1,6,-1,0,0,0,0,1,0,0,0,0,1155,1,68,29
February,30,6,3,2024-02-16,1,0,0,TOR,PWHL Toronto,PWHL,MTL,PWHL Montreal,PWHL,0,19:58,1,1,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1198,1,68,30
February,36,6,4,2024-02-23,1,1,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,21:05,0,1,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1265,1,68,36
February,40,2,6,2024-02-27,0,4,0,MIN,PWHL Minnesota,PWHL,TOR,PWHL Toronto,PWHL,1,19:48,1,1,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,1188,1,68,40
March,41,5,6,2024-03-02,0,1,0,OTT,PWHL Ottawa,PWHL,TOR,PWHL Toronto,PWHL,0,22:49,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1369,1,68,41
March,45,6,1,2024-03-06,1,1,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,24:52,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1492,1,68,45
March,47,6,3,2024-03-08,1,2,0,TOR,PWHL Toronto,PWHL,MTL,PWHL Montreal,PWHL,0,22:32,2,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1352,1,68,47
March,66,3,6,2024-03-17,0,2,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,1,16:42,0,1,2,1,0,0,0,0,0,0,0,2,6,2,0,0,0,0,1,0,0,0,0,1002,1,68,66
March,52,6,1,2024-03-20,1,0,0,TOR,PWHL Toronto,PWHL,BOS,PWHL Boston,PWHL,0,21:12,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1272,1,68,52
March,54,5,6,2024-03-23,0,1,0,OTT,PWHL Ottawa,PWHL,TOR,PWHL Toronto,PWHL,0,22:52,0,0,1,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1372,1,68,54
April,57,1,6,2024-04-18,0,2,0,BOS,PWHL Boston,PWHL,TOR,PWHL Toronto,PWHL,0,20:25,1,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1225,1,68,57
April,67,3,6,2024-04-20,0,1,0,MTL,PWHL Montreal,PWHL,TOR,PWHL Toronto,PWHL,0,17:32,0,2,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1052,1,68,67
April,61,4,6,2024-04-28,0,1,0,NY,PWHL New York,PWHL,TOR,PWHL Toronto,PWHL,0,30:13,0,1,2,1,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,1813,1,68,61
May,63,6,2,2024-05-01,1,1,0,TOR,PWHL Toronto,PWHL,MIN,PWHL Minnesota,PWHL,0,20:49,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1249,1,68,63
May,72,6,5,2024-05-05,1,1,0,TOR,PWHL Toronto,PWHL,OTT,PWHL Ottawa,PWHL,0,24:22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1462,1,68,72
January,2,6,4,2024-01-01,1,0,0,TOR,PWHL Toronto,PWHL,NY,PWHL New York,PWHL,0,9:41,0,0,NA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,581,1,131,2
