season_id,season_name,shortname,playoff,career,sopt_track_faceoffs,max_start_date,veteran_status,veteran,jersey_number,goals,games_played,assists,points,plus_minus,penalty_minutes,power_play_goals,power_play_assists,shots,shootout_attempts,shootout_goals,shootout_percentage,shooting_percentage,shootout_winning_goals,points_per_game,short_handed_goals,short_handed_assists,game_winning_goals,game_tieing_goals,faceoff_wins,faceoff_attempts,faceoff_pct,hits,team_name,team_code,team_city,team_nickname,team_id,active,first_goals,insurance_goals,overtime_goals,unassisted_goals,empty_net_goals,penalty_minutes_per_game,division,ice_time,ice_time_minutes_seconds,shots_blocked_by_player,stat_type,player_id
8,2025-26 Regular Season,2025-26 Reg,0,1,1,2025-11-21,2,,3,1,30,7,8,7,18,0,3,29,0,0,0.0,3.4,0,0.27,1,0,1,0,0,0,0.0,30,Ottawa Charge,OTT,Ottawa,Charge,5,1,0,0,0,0,0,0.600000,PWHL,40890,681:30,31,regular,71
5,2024-25 Regular Season,2024-25 Reg,0,1,1,2024-11-25,2,,3,0,6,2,2,0,0,0,0,7,0,0,0.0,0.0,0,0.33,0,0,0,0,0,0,0.0,7,Toronto Sceptres,TOR,Toronto,Sceptres,6,0,0,0,0,0,0,0,PWHL,8082,134:42,7,regular,71
5,2024-25 Regular Season,2024-25 Reg,0,1,1,2024-12-30,2,,23,0,24,5,5,-2,12,0,1,21,0,0,0.0,0.0,0,0.21,0,0,0,0,1,2,50.0,16,Ottawa Charge,OTT,Ottawa,Charge,5,1,0,0,0,0,0,0.500000,PWHL,31157,519:17,16,regular,71
1,2024 Regular Season,2024 Reg,0,1,1,2023-11-01,2,,3,1,23,9,10,8,6,0,1,42,0,0,0.0,2.4,0,0.43,0,1,0,0,0,0,0.0,19,PWHL Toronto,TOR,Toronto,Toronto,6,1,0,0,0,0,0,0.260870,PWHL,38575,642:55,16,regular,71
19,Total,Total,0,4,NA,8096,8,NA,32,2,83,23,25,13,36,0,5,99,0,0,0.0,2.0,0,0.30,1,1,1,0,1,2,50.0,72,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.43,NA,118704,1978:24,70,regular,71
9,2026 Playoffs,2026 Playoffs,1,1,1,2026-04-28,2,,3,1,8,3,4,0,4,1,0,9,0,0,0.0,11.1,0,0.50,0,0,0,0,0,0,0.0,6,Ottawa Charge,OTT,Ottawa,Charge,5,1,1,0,0,0,0,0.500000,PWHL,12752,212:32,7,playoff,71
6,2025 Playoffs,2025 Playoffs,1,1,1,2025-05-06,2,,23,1,8,3,4,3,2,0,0,14,0,0,0.0,7.1,0,0.50,0,0,0,0,0,0,0.0,9,Ottawa Charge,OTT,Ottawa,Charge,5,1,1,0,0,0,0,0.250000,PWHL,15173,252:53,10,playoff,71
3,2024 Playoffs,2024 Playoffs,1,1,1,2024-05-06,2,,3,0,5,1,1,1,6,0,0,3,0,0,0.0,0.0,0,0.20,0,0,0,0,0,0,0.0,5,PWHL Toronto,TOR,Toronto,Toronto,6,1,0,0,0,0,0,1.200000,PWHL,8609,143:29,6,playoff,71
18,Total,Total,1,3,NA,6075,6,NA,29,2,21,7,9,4,12,1,0,26,0,0,0.0,7.7,0,0.43,0,0,0,0,0,0,0.0,20,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0.57,NA,36534,608:54,23,playoff,71
7,2025-26 Preseason,2025-26 Preseason,0,0,1,2025-06-01,2,,3,0,1,0,0,-2,2,0,0,0,0,0,0.0,0.0,0,0.00,0,0,0,0,0,0,0.0,2,Ottawa Charge,OTT,Ottawa,Charge,5,1,0,0,0,0,0,2.000000,PWHL,1233,20:33,1,exhibition,71
