player_id,first_name,last_name,player_name,jersey_number,position,date_of_birth,birthplace,hometown,nationality,height,shoots,catches,primary_image,most_recent_team,most_recent_team_code
1,Hannah,Brandt,Hannah Brandt,20,F,1993-11-27,"Vadnais Heights, Minnesota, United States","Vadnais Heights, MN",United States,"5'6""",R,,https://assets.leaguestat.com/pwhl/240x240/1.jpg,Boston Fleet,BOS
10,Jess,Healey,Jess Healey,97,D,1996-10-14,NA,"Edmonton, AB",,,L,,https://assets.leaguestat.com/pwhl/240x240/10.jpg,PWHL Boston,BOS
100,Natalie,Spooner,Natalie Spooner,24,F,1990-10-17,"Scarborough, Ontario, Canada","Scarborough, ON",Canada,"5'10""",R,R,https://assets.leaguestat.com/pwhl/240x240/100.jpg,Toronto Sceptres,TOR
101,Alexa,Vasko,Alexa Vasko,10,F,1999-02-07,"St. Catharines, Ontario, Canada","St. Catharines, ON",Canada,5'5,L,L,https://assets.leaguestat.com/pwhl/240x240/101.jpg,Ottawa Charge,OTT
102,Claire,Butorac,Claire Butorac,7,F,1999-09-24,"Andover, Minnesota, United States","Andover, MN",United States,5'6,R,R,https://assets.leaguestat.com/pwhl/240x240/102.jpg,Minnesota Frost,MIN
103,Sophia,Kunin,Sophia Kunin,11,F,1997-04-03,NA,"Wayzata, MN",,,R,R,https://assets.leaguestat.com/pwhl/240x240/103.jpg,PWHL Minnesota,MIN
104,Denisa,Křížová,Denisa Křížová,41,F,1994-11-03,"Horni Cerekev, Czechia, Czechia","Horní Cerekev, CZE",Czechia,"5'5""",L,R,https://assets.leaguestat.com/pwhl/240x240/104.jpg,Minnesota Frost,MIN
105,Brittyn,Fleming,Brittyn Fleming,18,F,1999-05-24,NA,"Oregon, Wisconsin",,,L,R,https://assets.leaguestat.com/pwhl/240x240/105.jpg,PWHL Minnesota,MIN
106,McKenna,Brand,McKenna Brand,7,F,1996-05-18,NA,"Park Rapids, MN",,,L,R,https://assets.leaguestat.com/pwhl/240x240/106.jpg,PWHL Boston,BOS
107,Sammy,Davis,Sammy Davis,20,F,1997-04-23,NA,"Pembroke, MA",,,L,R,https://assets.leaguestat.com/pwhl/240x240/107.jpg,PWHL Ottawa,OTT
108,Samantha,Isbell,Samantha Isbell,55,D,1998-02-17,"Thunder Bay, Ontario, Canada","Thunder Bay, ON",Canada,5'7,L,R,https://assets.leaguestat.com/pwhl/240x240/108.jpg,Ottawa Charge,OTT
109,Gigi,Marvin,Gigi Marvin,19,F,1987-03-07,NA,"Warroad, MN",,,R,R,https://assets.leaguestat.com/pwhl/240x240/109.jpg,PWHL Boston,BOS
