season_id,game_id,date_played,game_status,is_final
1,2,2024-01-01,Final,TRUE
1,3,2024-01-02,Final OT,TRUE
1,4,2024-01-03,Final,TRUE
1,5,2024-01-05,Final,TRUE
1,6,2024-01-06,Final,TRUE
1,9,2024-01-10,Final,TRUE
1,8,2024-01-10,Final,TRUE
1,10,2024-01-13,Final,TRUE
1,11,2024-01-13,Final OT,TRUE
1,12,2024-01-14,Final OT,TRUE
1,13,2024-01-16,Final,TRUE
1,15,2024-01-17,Final OT,TRUE
1,14,2024-01-17,Final,TRUE
1,16,2024-01-20,Final,TRUE
1,17,2024-01-20,Final SO,TRUE
1,18,2024-01-23,Final,TRUE
1,19,2024-01-24,Final,TRUE
1,20,2024-01-24,Final,TRUE
1,21,2024-01-26,Final,TRUE
1,22,2024-01-27,Final OT,TRUE
1,23,2024-01-27,Final OT,TRUE
1,24,2024-01-28,Final OT,TRUE
1,25,2024-02-03,Final,TRUE
1,26,2024-02-04,Final OT,TRUE
1,27,2024-02-04,Final OT,TRUE
1,29,2024-02-14,Final,TRUE
1,28,2024-02-14,Final,TRUE
1,30,2024-02-16,Final,TRUE
1,31,2024-02-17,Final,TRUE
1,32,2024-02-17,Final OT,TRUE
1,33,2024-02-18,Final,TRUE
1,83,2024-02-19,Final,TRUE
1,34,2024-02-21,Final,TRUE
1,35,2024-02-21,Final SO,TRUE
1,36,2024-02-23,Final SO,TRUE
1,37,2024-02-24,Final,TRUE
1,38,2024-02-25,Final,TRUE
1,40,2024-02-27,Final OT,TRUE
1,39,2024-02-28,Final,TRUE
1,41,2024-03-02,Final,TRUE
1,42,2024-03-02,Final,TRUE
1,43,2024-03-03,Final,TRUE
1,44,2024-03-05,Final SO,TRUE
1,46,2024-03-06,Final,TRUE
1,45,2024-03-06,Final,TRUE
1,47,2024-03-08,Final,TRUE
1,48,2024-03-10,Final OT,TRUE
1,49,2024-03-10,Final,TRUE
1,50,2024-03-13,Final,TRUE
1,51,2024-03-16,Final,TRUE
1,65,2024-03-16,Final SO,TRUE
1,66,2024-03-17,Final,TRUE
1,53,2024-03-20,Final,TRUE
1,52,2024-03-20,Final,TRUE
1,54,2024-03-23,Final,TRUE
1,55,2024-03-24,Final SO,TRUE
1,56,2024-03-25,Final,TRUE
1,57,2024-04-18,Final,TRUE
1,58,2024-04-18,Final,TRUE
1,67,2024-04-20,Final OT,TRUE
1,68,2024-04-20,Final,TRUE
1,59,2024-04-20,Final,TRUE
1,60,2024-04-24,Final,TRUE
1,69,2024-04-24,Final SO,TRUE
1,62,2024-04-27,Final,TRUE
1,70,2024-04-27,Final,TRUE
1,61,2024-04-28,Final,TRUE
1,71,2024-04-30,Final,TRUE
1,63,2024-05-01,Final,TRUE
1,73,2024-05-04,Final,TRUE
1,64,2024-05-04,Final,TRUE
1,72,2024-05-05,Final,TRUE
2,74,2023-12-04,Final OT,TRUE
2,75,2023-12-04,Final OT,TRUE
2,76,2023-12-04,Final OT,TRUE
2,77,2023-12-05,Final OT,TRUE
2,78,2023-12-05,Final OT,TRUE
2,79,2023-12-05,Final SO,TRUE
2,80,2023-12-07,Final,TRUE
2,81,2023-12-07,Final OT,TRUE
2,82,2023-12-07,Final OT,TRUE
3,84,2024-05-08,Final,TRUE
3,85,2024-05-09,Final OT,TRUE
3,86,2024-05-10,Final,TRUE
3,87,2024-05-11,Final OT3,TRUE
3,88,2024-05-13,Final,TRUE
3,89,2024-05-14,Final OT,TRUE
3,90,2024-05-15,Final OT2,TRUE
3,92,2024-05-17,Final,TRUE
3,94,2024-05-19,Final,TRUE
3,95,2024-05-21,Final,TRUE
3,96,2024-05-24,Final,TRUE
3,97,2024-05-26,Final OT2,TRUE
3,98,2024-05-29,Final,TRUE
4,99,2024-11-20,Final,TRUE
4,100,2024-11-20,Final,TRUE
4,101,2024-11-21,Final,TRUE
4,102,2024-11-21,Final OT,TRUE
4,103,2024-11-22,Final,TRUE
4,104,2024-11-22,Final,TRUE
5,105,2024-11-30,Final,TRUE
5,106,2024-11-30,Final SO,TRUE
5,107,2024-12-01,Final OT,TRUE
5,108,2024-12-03,Final,TRUE
5,109,2024-12-04,Final,TRUE
5,110,2024-12-04,Final,TRUE
5,172,2024-12-06,Final,TRUE
5,111,2024-12-07,Final,TRUE
5,112,2024-12-08,Final,TRUE
5,113,2024-12-17,Final,TRUE
5,114,2024-12-18,Final,TRUE
5,115,2024-12-19,Final,TRUE
5,116,2024-12-21,Final OT,TRUE
5,117,2024-12-22,Final SO,TRUE
5,118,2024-12-27,Final,TRUE
5,119,2024-12-28,Final,TRUE
5,120,2024-12-29,Final,TRUE
5,121,2024-12-30,Final,TRUE
5,122,2024-12-31,Final,TRUE
5,123,2025-01-02,Final OT,TRUE
