team_code,losses,regulation_wins,points,goals_for,goals_against,non_reg_wins,non_reg_losses,games_remaining,percentage,overall_rank,games_played.x,rank,name,team_id,ot_losses,ot_wins,shootout_wins,shootout_losses,power_play_goals,power_play_goals_against,short_handed_goals_for,short_handed_goals_against,games_played.y,power_play_pct,penalty_kill_pct,power_plays,times_short_handed,season_id
TOR,7,13,47,69,50,4,0,0,0.653,1,24,1,PWHL Toronto,6,0,2,2,0,11,6,3,2,24,15.7%,91.8%,70,73,1
MTL,6,10,41,60,57,3,5,0,0.569,2,24,2,PWHL Montreal,3,2,3,0,3,13,12,1,4,24,15.9%,84.0%,82,75,1
BOS,9,8,35,50,57,4,3,0,0.486,3,24,3,PWHL Boston,1,2,3,1,1,4,13,2,1,24,7.5%,80.0%,53,65,1
MIN,9,8,35,54,54,4,3,0,0.486,4,24,4,PWHL Minnesota,2,3,2,2,0,5,20,2,0,24,8.2%,67.2%,61,61,1
OTT,9,8,32,62,63,1,6,0,0.444,5,24,5,PWHL Ottawa,5,4,0,1,2,16,9,3,3,24,25.0%,85.9%,64,64,1
NY,12,5,26,53,67,4,3,0,0.361,6,24,6,PWHL New York,4,2,3,1,1,19,8,2,3,24,24.4%,88.6%,78,70,1
MIN,0,1,7,17,11,2,0,0,0.778,1,3,1,PWHL Minnesota,2,0,2,0,0,1,2,0,0,3,11.1%,60.0%,9,5,2
NY,0,0,6,12,5,3,0,0,0.667,2,3,2,PWHL New York,4,0,2,1,0,1,1,0,0,3,7.1%,87.5%,14,8,2
TOR,0,0,4,13,13,1,2,0,0.444,3,3,3,PWHL Toronto,6,2,1,0,0,3,2,0,0,3,23.1%,86.7%,13,15,2
BOS,0,0,4,6,9,1,2,0,0.444,4,3,4,PWHL Boston,1,2,1,0,0,2,2,0,0,3,16.7%,88.2%,12,17,2
MON,1,0,3,6,9,1,1,0,0.333,5,3,5,PWHL Montreal,3,1,1,0,0,2,1,0,0,3,25.0%,87.5%,8,8,2
OTT,0,0,3,6,13,0,3,0,0.333,6,3,6,PWHL Ottawa,5,2,0,0,1,0,1,0,0,3,0.0%,91.7%,9,12,2
MIN,4,5,18,20,13,1,0,0,0.600,1,10,1,PWHL Minnesota,2,0,1,0,0,2,0,1,0,10,7.7%,100.0%,26,19,3
BOS,3,1,15,13,17,4,0,0,0.625,2,8,2,PWHL Boston,1,0,4,0,0,0,3,1,1,8,0.0%,87.0%,15,23,3
TOR,3,2,6,7,7,0,0,0,0.400,3,5,3,PWHL Toronto,6,0,0,0,0,0,2,0,0,5,0.0%,86.7%,10,15,3
NY,0,0,0,0,0,0,0,0,0.000,4,0,4,PWHL New York,4,0,0,0,0,0,0,0,0,0,0%,0%,0,0,3
OTT,0,0,0,0,0,0,0,0,0.000,5,0,5,PWHL Ottawa,5,0,0,0,0,0,0,0,0,0,0%,0%,0,0,3
MTL,3,0,0,4,7,0,0,0,0.000,7,3,6,PWHL Montreal,3,0,0,0,0,3,0,0,1,3,25.0%,100.0%,12,6,3
MIN,0,1,5,7,4,1,0,0,0.833,1,2,1,Minnesota Frost,2,0,1,0,0,2,0,0,0,2,28.6%,100.0%,7,3,4
NY,0,1,4,8,6,0,1,0,0.667,2,2,2,New York Sirens,4,1,0,0,0,1,3,1,0,2,14.3%,66.7%,7,9,4
BOS,1,1,3,4,7,0,0,0,0.500,3,2,3,Boston Fleet,1,0,0,0,0,0,0,0,0,2,0.0%,100.0%,10,4,4
MTL,1,1,3,7,6,0,0,0,0.500,4,2,4,Montréal Victoire,3,0,0,0,0,1,0,0,0,2,20.0%,100.0%,5,5,4
OTT,1,1,3,9,7,0,0,0,0.500,5,2,5,Ottawa Charge,5,0,0,0,0,0,1,0,0,2,0.0%,87.5%,2,8,4
TOR,2,0,0,3,8,0,0,0,0.000,6,2,6,Toronto Sceptres,6,0,0,0,0,1,1,0,1,2,16.7%,87.5%,6,8,4
MTL,8,12,53,77,67,7,3,0,0.589,1,30,1,Montréal Victoire,3,1,4,3,2,16,16,2,3,30,15.5%,82.6%,103,92,5
TOR,9,12,48,73,73,3,6,0,0.533,2,30,2,Toronto Sceptres,6,4,2,1,2,24,17,1,0,30,25.8%,82.1%,93,95,5
OTT,12,12,44,71,80,2,4,0,0.489,3,30,3,Ottawa Charge,5,3,2,0,1,11,21,4,2,30,14.9%,80.2%,74,106,5
MIN,11,10,44,85,76,5,4,0,0.489,4,30,4,Minnesota Frost,2,2,3,2,2,15,16,1,2,30,17.9%,78.4%,84,74,5
BOS,10,9,44,75,76,6,5,0,0.489,5,30,5,Boston Fleet,1,5,2,4,0,14,18,3,3,30,15.7%,81.4%,89,97,5
NY,13,8,37,71,80,4,5,0,0.411,6,30,6,New York Sirens,4,1,3,1,4,20,12,1,2,30,18.5%,86.2%,108,87,5
MIN,2,2,18,25,19,4,0,0,0.750,1,8,1,Minnesota Frost,2,0,4,0,0,6,2,0,0,8,30.0%,86.7%,20,15,6
OTT,4,3,12,13,13,1,0,0,0.500,2,8,2,Ottawa Charge,5,0,1,0,0,1,3,0,0,8,5.6%,85.0%,18,20,6
MTL,3,0,3,6,8,1,0,0,0.250,3,4,3,Montréal Victoire,3,0,1,0,0,2,1,0,0,4,22.2%,88.9%,9,9,6
TOR,3,1,3,14,18,0,0,0,0.250,4,4,4,Toronto Sceptres,6,0,0,0,0,2,5,0,0,4,33.3%,44.4%,6,9,6
TOR,0,1,5,6,2,1,0,0,0.833,1,2,1,Toronto Sceptres,6,0,1,0,0,0,0,1,0,2,0.0%,100.0%,6,7,7
MTL,0,1,5,6,4,1,0,0,0.833,2,2,2,Montréal Victoire,3,0,1,0,0,2,0,0,0,2,22.2%,100.0%,9,5,7
NY,1,1,3,8,7,0,0,0,0.500,3,2,3,New York Sirens,4,0,0,0,0,1,3,0,0,2,50.0%,50.0%,2,6,7
VAN,1,1,3,5,4,0,0,0,0.500,4,2,4,Vancouver Goldeneyes,9,0,0,0,0,0,0,0,0,2,0.0%,100.0%,8,2,7
MIN,1,1,3,7,8,0,0,0,0.500,5,2,5,Minnesota Frost,2,0,0,0,0,3,1,0,0,2,50.0%,50.0%,6,2,7
SEA,1,1,3,4,5,0,0,0,0.500,6,2,6,Seattle Torrent,8,0,0,0,0,0,0,0,0,2,0.0%,100.0%,2,8,7
BOS,1,0,1,4,6,0,1,0,0.167,7,2,7,Boston Fleet,1,1,0,0,0,0,2,0,0,2,0.0%,77.8%,5,9,7
OTT,1,0,1,2,6,0,1,0,0.167,8,2,8,Ottawa Charge,5,1,0,0,0,0,0,0,1,2,0.0%,100.0%,7,6,7
MTL,6,16,62,78,41,6,2,0,0.689,1,30,1,Montréal Victoire,3,2,3,3,0,16,7,2,0,30,19.3%,91.8%,83,85,8
BOS,5,16,62,74,45,5,4,0,0.689,2,30,2,Boston Fleet,1,2,2,3,2,13,7,3,2,30,14.0%,91.6%,93,83,8
MIN,9,13,50,91,73,3,5,0,0.556,3,30,3,Minnesota Frost,2,5,3,0,0,20,15,0,2,30,23.0%,78.3%,87,69,8
OTT,12,9,44,71,73,8,1,0,0.489,4,30,4,Ottawa Charge,5,0,6,2,1,16,18,3,1,30,17.8%,81.8%,90,99,8
TOR,13,10,38,51,72,1,6,0,0.422,5,30,5,Toronto Sceptres,6,3,1,0,3,7,13,2,1,30,10.8%,85.1%,65,87,8
VAN,14,9,37,68,81,3,4,0,0.411,6,30,6,Vancouver Goldeneyes,9,4,3,0,0,8,13,1,3,30,10.7%,83.3%,75,78,8
NY,15,9,36,63,83,3,3,0,0.400,7,30,7,New York Sirens,4,2,2,1,1,13,19,3,5,30,12.7%,78.9%,102,90,8
SEA,16,8,31,64,92,1,5,0,0.344,8,30,8,Seattle Torrent,8,2,0,1,3,13,14,2,2,30,15.7%,83.9%,83,87,8
MTL,3,3,18,20,15,3,0,0,0.667,1,9,1,Montréal Victoire,3,0,3,0,0,3,2,1,1,9,15.8%,92.9%,19,28,9
OTT,4,3,12,15,17,1,0,0,0.500,2,8,2,Ottawa Charge,5,0,1,0,0,2,1,0,1,8,8.7%,95.7%,23,23,9
MIN,3,1,6,10,10,1,0,0,0.400,3,5,3,Minnesota Frost,2,0,1,0,0,2,3,1,0,5,11.1%,75.0%,18,12,9
BOS,3,1,3,7,10,0,0,0,0.250,4,4,4,Boston Fleet,1,0,0,0,0,1,2,0,0,4,6.3%,84.6%,16,13,9
