id,person_id,active,first_name,last_name,phonetic_name,display_name,shoots,hometown,homeprov,homecntry,homeplace,birthtown,birthprov,birthcntry,birthplace,height,weight,height_hyphenated,hidden,current_team,player_id,status,birthdate,birthdate_year,rawbirthdate,latest_team_id,veteran_status,veteran_description,team_name,division,tp_jersey_number,rookie,position_id,position,nhlteam,playerId,isRookie,h,w,draft_status,draftinfo,name,player_image,catches,team_id,season_id
2,4,1,Emily,Brown,EHM-IHL-EE BROWN,,L,"Blaine, MN",Minnesota,,"Blaine, Minnesota",Blaine,Minnesota,United States,"Blaine, Minnesota",5'7,0,5-7,0,,2,Signed,1998-12-30,'98,1998-12-30,1,2,,PWHL Boston,PWHL,2,0,1,D,,2,&nbsp;,5'7,0,,NA,Emily Brown,https://assets.leaguestat.com/pwhl/240x240/2.jpg,NA,1,1
12,14,1,Megan,Keller,MEH-GIHN KEH-LER,,L,"Farmington, MI",Michigan,,"Farmington, Michigan",Farmington,Michigan,United States,"Farmington, Michigan",5'11,0,5-11,0,,12,Signed,1996-05-01,'96,1996-05-01,1,2,,PWHL Boston,PWHL,5,0,1,D,,12,&nbsp;,5'11,0,,NA,Megan Keller,https://assets.leaguestat.com/pwhl/240x240/12.jpg,NA,1,1
167,202,1,Sidney,Morin,SIHD-nee MOHR-ihn,,R,"Minnetonka, MN",,,"Minnetonka, Minnesota",Minnetonka,Minnesota,United States,"Minnetonka, Minnesota",5'5,0,5-5,0,,167,Signed,1995-06-06,'95,1995-06-06,1,2,,PWHL Boston,PWHL,7,0,1,D,,167,&nbsp;,5'5,0,,NA,Sidney Morin,https://assets.leaguestat.com/pwhl/240x240/167.jpg,NA,1,1
49,51,1,Lexie,Adzija,LEHKS-ee ah-JEE-uh,,L,"St. Thomas, ON",Ontario,Canada,"St. Thomas, Ontario",St. Thomas,Ontario,Canada,"St. Thomas, Ontario",5'10,0,5-10,0,,49,Signed,2000-06-30,'00,2000-06-30,1,2,,PWHL Boston,PWHL,8,1,8,F,,49,*,5'10,0,"Ottawa (PWHL) 2023 Round: 11 (#65), Ottawa (PWHL) 2023 Round: 11 (#65)","list(id = ""295"", person_id = ""51"", draft_round = ""11"", draft_date = """", draft_year = ""2023"", draft_rank = ""65"", draft_team = ""Ottawa"", draft_team_id = ""0"", draft_league = """", junior_team = """", show_on_roster = ""1"", draft_mode = ""4"", lang_id = ""1"", draft_type_id = ""1"", draft_type = ""PWHL"", draft_status = """")",Lexie Adzija,https://assets.leaguestat.com/pwhl/240x240/49.jpg,NA,1,1
18,20,1,Sophie,Shirley,SO-FEE SHUHR-lee,,R,"Saskatoon, SK",Saskatchewan,,"Saskatoon, Saskatchewan",Saskatoon,Saskatchewan,Canada,"Saskatoon, Saskatchewan",5'9,0,5-9,0,,18,Signed,1999-06-30,'99,1999-06-30,1,2,,PWHL Boston,PWHL,9,0,8,F,,18,&nbsp;,5'9,0,,NA,Sophie Shirley,https://assets.leaguestat.com/pwhl/240x240/18.jpg,NA,1,1
15,17,1,Alina,Müller,AH-lee-na MEW-LER,,L,"Winterthur, SWI",SWI,Switzerland,"Winterthur, Switzerland",Winterthur,,Switzerland,"Winterthur, ",5'5,0,5-5,0,,15,Signed,1998-03-12,'98,1998-03-12,1,2,,PWHL Boston,PWHL,11,1,8,F,,15,*,5'5,0,,NA,Alina Müller,https://assets.leaguestat.com/pwhl/240x240/15.jpg,NA,1,1
111,141,1,Taylor,Wenczkowski,,,R,,,,,,,,,,,,0,,111,None,1997-09-25,'97,1997-09-25,1,2,,PWHL Boston,PWHL,12,0,8,F,,111,&nbsp;,,,,NA,Taylor Wenczkowski,https://assets.leaguestat.com/pwhl/240x240/111.jpg,NA,1,1
7,9,1,Kaleigh,Fratkin,,,R,"Burnaby, BC",British Columbia,,,,,,,,,,0,,7,None,1992-03-24,'92,1992-03-24,1,2,,PWHL Boston,PWHL,13,0,1,D,,7,&nbsp;,,,,NA,Kaleigh Fratkin,https://assets.leaguestat.com/pwhl/240x240/7.jpg,NA,1,1
176,370,1,Caitrin,Lonergan,,,R,,,,,,,,,,,,0,,176,Reserve,1997-09-10,'97,1997-09-10,1,2,,PWHL Boston,PWHL,14,0,8,F,,176,&nbsp;,,,,NA,Caitrin Lonergan,https://lscluster.hockeytech.com/img/nophoto.png,NA,1,1
110,140,1,Amanda,Pelkey,AH-man-da PEHL-kee,,R,"Montpelier, VT",,,"Montpelier, Vermont",Montpelier,Vermont,United States,"Montpelier, Vermont",5'3,0,5-3,0,,110,Camp Invitee,1993-05-29,'93,1993-05-29,1,2,,PWHL Boston,PWHL,16,0,8,F,,110,&nbsp;,5'3,0,,NA,Amanda Pelkey,https://assets.leaguestat.com/pwhl/240x240/110.jpg,NA,1,1
9,11,1,Taylor,Girard,TAY-luhr JAH-rahrd,,L,"Macomb, MI",Michigan,,"Macomb, Michigan",Macomb,Michigan,United States,"Macomb, Michigan",5'10,0,5-10,0,,9,Signed,1998-07-17,'98,1998-07-17,1,2,,PWHL Boston,PWHL,17,0,8,F,,9,&nbsp;,5'10,0,,NA,Taylor Girard,https://assets.leaguestat.com/pwhl/240x240/9.jpg,NA,1,1
117,147,1,Abby,Cook,,,R,"Kelowna, BC",,,,,,,,,,,0,,117,None,1998-05-12,'98,1998-05-12,1,1,*,PWHL Boston,PWHL,18,0,1,D,,117,&nbsp;,,,,NA,Abby Cook,https://assets.leaguestat.com/pwhl/240x240/117.jpg,NA,1,1
11,13,1,Sophie,Jaques,SOH-fee JAYKS,,R,"Toronto, ON",Ontario,,"Toronto, Ontario",Toronto,Ontario,Canada,"Toronto, Ontario",5'8,0,5-8,0,,11,Camp Invitee,2000-10-16,'00,2000-10-16,1,2,,PWHL Boston,PWHL,18,1,1,D,,11,*,5'8,0,,NA,Sophie Jaques,https://assets.leaguestat.com/pwhl/240x240/11.jpg,NA,1,1
109,139,1,Gigi,Marvin,,,R,"Warroad, MN",,,,,,,,,,,0,,109,None,1987-03-07,'87,1987-03-07,1,2,,PWHL Boston,PWHL,19,0,8,F,,109,&nbsp;,,,,NA,Gigi Marvin,https://assets.leaguestat.com/pwhl/240x240/109.jpg,NA,1,1
1,3,1,Hannah,Brandt,HA-nuh BRAN-T,,R,"Vadnais Heights, MN",Minnesota,,"Vadnais Heights, Minnesota",Vadnais Heights,Minnesota,United States,"Vadnais Heights, Minnesota",5'6,0,5-6,0,,1,Signed,1993-11-27,'93,1993-11-27,1,2,,PWHL Boston,PWHL,20,0,8,F,,1,&nbsp;,5'6,0,,NA,Hannah Brandt,https://assets.leaguestat.com/pwhl/240x240/1.jpg,NA,1,1
13,15,1,Hilary,Knight,HILL-AH-REE NIGHT,,R,"Sun Valley, ID",Idaho,,"Sun Valley, Idaho",Sun Valley,Idaho,United States,"Sun Valley, Idaho",5'11,0,5-11,0,,13,Signed,1989-07-12,'89,1989-07-12,1,2,,PWHL Boston,PWHL,21,0,8,F,,13,&nbsp;,5'11,0,,NA,Hilary Knight,https://assets.leaguestat.com/pwhl/240x240/13.jpg,NA,1,1
