transaction_type,title,ttype,ttype_text,transaction_date,transaction_time,formatted_transaction_date,timezone,player_id,response1,response2,first_name,last_name,player_name,position,team_id,team_city,team_name,team_code,division,team_logo,detail,season_id
2,Signed,1,ADD,2024-03-20,16:08:17,03/20/2024,Canada/Eastern,175,,,Kelly,Babstock,Kelly Babstock (RW),RW,1,Boston,PWHL Boston,BOS,PWHL,https://assets.leaguestat.com/pwhl/logos/1.png,Signed,1
2,Signed,1,ADD,2024-03-20,16:11:13,03/20/2024,Canada/Eastern,176,,,Caitrin,Lonergan,Caitrin Lonergan (F),F,1,Boston,PWHL Boston,BOS,PWHL,https://assets.leaguestat.com/pwhl/logos/1.png,Signed,1
2,Signed,1,ADD,2024-03-20,16:13:18,03/20/2024,Canada/Eastern,139,,,Liliane,Perreault,Liliane Perreault (F),F,3,Montreal,PWHL Montreal,MTL,PWHL,https://assets.leaguestat.com/pwhl/logos/3.png,Signed,1
2,Signed,1,ADD,2024-03-20,16:14:36,03/20/2024,Canada/Eastern,177,,,Brooke,Stacey,Brooke Stacey (F),F,3,Montreal,PWHL Montreal,MTL,PWHL,https://assets.leaguestat.com/pwhl/logos/3.png,Signed,1
2,Signed,1,ADD,2024-03-20,17:31:42,03/20/2024,Canada/Eastern,4,,,Shiann,Darkangelo,Shiann Darkangelo (F),F,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Signed,1
2,Signed,1,ADD,2024-03-20,16:24:58,03/20/2024,Canada/Eastern,112,,,Lauren,MacInnis,Lauren MacInnis (D),D,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Signed,1
2,Signed,1,ADD,2024-03-20,16:18:47,03/20/2024,Canada/Eastern,178,,,Audrey-Ann,Veilette,Audrey-Ann Veilette (F),F,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Signed,1
4,Traded from,0,DEL,2024-03-18,18:06:00,03/18/2024,Canada/Eastern,49,PWHL Boston,Ashley McLellan,Lexie,Adzija,Lexie Adzija (F),F,1,Boston,PWHL Boston,BOS,PWHL,https://assets.leaguestat.com/pwhl/logos/1.png,Traded from PWHL Boston,1
3,Traded to,1,ADD,2024-03-18,16:00:00,03/18/2024,Canada/Eastern,51,PWHL OTTAWA,Ashley McLellan ,Amanda,Boulier,Amanda Boulier (D),D,3,Montreal,PWHL Montreal,MTL,PWHL,https://assets.leaguestat.com/pwhl/logos/3.png,Traded to PWHL OTTAWA,1
3,Traded to,1,ADD,2024-03-18,16:00:00,03/18/2024,Canada/Eastern,4,PWHL Boston,Ashley McLellan ,Shiann,Darkangelo,Shiann Darkangelo (F),F,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Traded to PWHL Boston,1
3,Traded to,1,ADD,2024-03-18,16:00:00,03/18/2024,Canada/Eastern,161,PWHL MONTRÉAL,Ashley McLellan ,Tereza,Vanišová,Tereza Vanišová (F),F,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Traded to PWHL MONTRÉAL,1
2,Signed,1,ADD,2024-03-16,18:40:25,03/16/2024,Canada/Eastern,108,,,Samantha,Isbell,Samantha Isbell (D),D,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Signed,1
2,Signed,1,ADD,2024-03-10,17:24:00,03/10/2024,Canada/Eastern,138,Reserve Player Contract,Ashley McLellan ,Mikyla,Grant-Mentis,Mikyla Grant-Mentis (F),F,3,Montreal,PWHL Montreal,MTL,PWHL,https://assets.leaguestat.com/pwhl/logos/3.png,Signed to Reserve Player Contract,1
2,Signed,1,ADD,2024-03-07,17:23:00,03/07/2024,Canada/Eastern,108,,Ashley McLellan ,Samantha,Isbell,Samantha Isbell (D),D,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Signed,1
2,Signed,1,ADD,2024-03-06,14:24:11,03/06/2024,Canada/Eastern,174,,,Jordan,Colliton,Jordan Colliton (D),D,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Signed,1
4,Traded from,0,DEL,2024-02-19,21:10:00,02/19/2024,Canada/Eastern,144,Released,Ashley McLellan,Victoria,Howran,Victoria Howran (D),D,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Traded from Released,1
2,Signed,1,ADD,2024-01-31,21:37:00,01/31/2024,Canada/Eastern,3,,Ashley McLellan ,Emma,Buckles,Emma Buckles (D),D,5,Ottawa,PWHL Ottawa,OTT,PWHL,https://assets.leaguestat.com/pwhl/logos/5.png,Signed,1
2,Signed,1,ADD,2024-01-13,13:38:56,01/13/2024,Canada/Eastern,170,,,Rachel,Flanagan,Rachel Flanagan (D),D,6,Toronto,PWHL Toronto,TOR,PWHL,https://assets.leaguestat.com/pwhl/logos/6.png,Signed,1
2,Signed,1,ADD,2024-01-13,13:44:37,01/13/2024,Canada/Eastern,173,,,Brad,Kirkwood,Brad Kirkwood (D),D,6,Toronto,PWHL Toronto,TOR,PWHL,https://assets.leaguestat.com/pwhl/logos/6.png,Signed,1
2,Signed,1,ADD,2024-01-13,13:43:15,01/13/2024,Canada/Eastern,172,,,Stefanie,Thomson,Stefanie Thomson (D),D,6,Toronto,PWHL Toronto,TOR,PWHL,https://assets.leaguestat.com/pwhl/logos/6.png,Signed,1
2,Signed,1,ADD,2023-12-04,12:22:07,12/04/2023,Canada/Eastern,106,,,McKenna,Brand,McKenna Brand (F),F,1,Boston,PWHL Boston,BOS,PWHL,https://assets.leaguestat.com/pwhl/logos/1.png,Signed,2
2,Signed,1,ADD,2023-12-04,12:23:59,12/04/2023,Canada/Eastern,107,,,Sammy,Davis,Sammy Davis (F),F,1,Boston,PWHL Boston,BOS,PWHL,https://assets.leaguestat.com/pwhl/logos/1.png,Signed,2
2,Signed,1,ADD,2023-12-04,12:25:52,12/04/2023,Canada/Eastern,108,,,Samantha,Isbell,Samantha Isbell (D),D,1,Boston,PWHL Boston,BOS,PWHL,https://assets.leaguestat.com/pwhl/logos/1.png,Signed,2
2,Signed,1,ADD,2023-12-04,12:33:07,12/04/2023,Canada/Eastern,113,,,Cami,Kronish,Cami Kronish (G),G,1,Boston,PWHL Boston,BOS,PWHL,https://assets.leaguestat.com/pwhl/logos/1.png,Signed,2
2,Signed,1,ADD,2023-12-04,12:31:46,12/04/2023,Canada/Eastern,112,,,Lauren,MacInnis,Lauren MacInnis (D),D,1,Boston,PWHL Boston,BOS,PWHL,https://assets.leaguestat.com/pwhl/logos/1.png,Signed,2
