timestamp_utc,timestamp_local,incident_count,jam_count,jam_length_m,jam_delay_s,total_length_m,total_delay_s,error
2026-07-06T12:53:55Z,2026-07-06T08:53:55-0400,140,74,68674,17110,95567,17179,
2026-07-06T16:14:53Z,2026-07-06T12:14:53-0400,105,35,27183,7079,60320,7160,
2026-07-07T11:54:53Z,2026-07-07T07:54:53-0400,132,58,65853,13425,95170,13528,
2026-07-07T11:56:22Z,2026-07-07T07:56:22-0400,132,58,63851,12868,93168,12938,
2026-07-07T12:11:38Z,2026-07-07T08:11:38-0400,129,55,56256,11495,86050,11578,
2026-07-07T12:26:49Z,2026-07-07T08:26:49-0400,134,61,59415,14203,88939,14275,
2026-07-07T12:42:00Z,2026-07-07T08:42:00-0400,154,80,65699,17835,95794,17912,
2026-07-07T12:57:10Z,2026-07-07T08:57:10-0400,177,102,72783,23122,104462,23203,
2026-07-07T13:12:19Z,2026-07-07T09:12:19-0400,155,80,56962,17063,88288,17157,
2026-07-07T13:27:29Z,2026-07-07T09:27:29-0400,131,56,37738,10979,70521,11048,
2026-07-07T14:12:40Z,2026-07-07T10:12:40-0400,110,34,25916,7672,59274,7739,
2026-07-07T15:12:51Z,2026-07-07T11:12:51-0400,109,31,21796,6133,56449,6206,
