ObjectId,Data_Type,Location,Camera_Install_Year,Date_of_Data_Collection,AvgSpeed,Pct85th,PctCompliance,PctHighEndSpeeders
1,"Pre ASE Installation","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Jun-19","48",55,14,12
2,"Pre ASE Installation","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","May-19","66",74,23,11
3,"Pre ASE Installation","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Jun-18","48",54,14,12
4,"Pre ASE Installation","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Sep-18","49",56,12,17
5,"Pre ASE Installation","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","May-19","50",58,10,22
6,"Pre ASE Installation","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","May-19","58",66,17,16
7,"Pre ASE Installation","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","N/A","N/A",63,28,9
8,"Pre ASE Installation","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Jun-18","46",52,16,8
9,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Jul-20","62",71,44,6.1
10,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Jul-20","44",53,32,8.7
11,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Jul-20","53",61,43,7.2
12,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Jul-20","42",50,45,5.5
13,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Aug-20","62",70,46,5.3
14,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Aug-20","42",51,41,5.5
15,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Aug-20","45",54,31,12.2
16,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Aug-20","55",64,30,10.9
17,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Aug-20","53",61,43,6.8
18,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Aug-20","42",50,47,5.2
19,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Sep-20","60",68,56,3.3
20,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Sep-20","40",49,54,3.9
21,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Sep-20","44",54,41,10.2
22,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Sep-20","53",63,38,8.8
23,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Sep-20","N/A",0,0,0
24,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Sep-20","N/A",0,0,0
25,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Oct-20","59",67,60,2.7
26,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Oct-20","39",48,59,3.4
