Date,Property Type,No. Of Active Listings,No. Of Conditional Sales,No. Of Sold Properties, Average List Price , Average Sold Prices ,Average List/Sold %,Average DOM,Average CDOM, Median List Price , Median Sold Price ,Median List/ Sold %,Median DOM,Median CDOM
13-Sep-21,Condos,79,40,78," $ 485,285 "," $ 480,214 ",98.96%,29,," $ 399,900 "," $ 399,950 ",100.01%,21,
20-Sep-21,Condos,79,40,78," $ 485,285 "," $ 480,214 ",98.96%,29,," $ 399,900 "," $ 399,950 ",100.01%,21,
27-Sep-21,Condos,121,55,52," $ 418,871 "," $ 420,506 ",100.39%,21,," $ 409,900 "," $ 412,500 ",100.63%,13,
4-Oct-21,Condos,104,51,112," $ 428,105 "," $ 418,228 ",97.69%,19,," $ 399,900 "," $ 397,450 ",99.39%,13,
11-Oct-21,Condos,104,51,112," $ 428,105 "," $ 418,228 ",97.69%,19,," $ 399,900 "," $ 397,450 ",99.39%,13,
18-Oct-21,Condos,115,36,74," $ 430,436 "," $ 430,745 ",100.07%,22,," $ 399,900 "," $ 412,500 ",103.15%,13,
25-Oct-21,Condos,113,60,74," $ 425,193 "," $ 429,354 ",100.98%,23,," $ 389,900 "," $ 385,000 ",98.74%,13,
1-Nov-21,Condos,87,50,97," $ 409,684 "," $ 408,666 ",99.75%,28,," $ 379,900 "," $ 385,000 ",101.34%,16,
8-Nov-21,Condos,82,48,74," $ 405,009 "," $ 392,272 ",96.86%,21,," $ 369,900 "," $ 380,000 ",102.73%,13,
15-Nov-21,Condos,95,40,91," $ 375,135 "," $ 377,520 ",100.64%,20,," $ 374,900 "," $ 371,500 ",99.09%,15,
22-Nov-21,Condos,72,45,86," $ 448,421 "," $ 438,910 ",97.88%,24,," $ 389,950 "," $ 385,000 ",98.73%,14,
29-Nov-21,Condos,85,54,76," $ 475,914 "," $ 480,525 ",100.97%,31,," $ 422,400 "," $ 423,000 ",100.14%,21,
6-Dec-21,Condos,84,45,84," $ 442,773 "," $ 443,739 ",100.22%,28,," $ 399,900 "," $ 400,000 ",100.03%,15,
13-Dec-21,Condos,71,41,87," $ 431,792 "," $ 437,549 ",101.33%,26,," $ 399,900 "," $ 410,000 ",102.53%,15,
20-Dec-21,Condos,61,42,71," $ 392,246 "," $ 407,761 ",103.96%,19,," $ 375,000 "," $ 398,000 ",106.13%,9,
27-Dec-21,Condos,47,35,77," $ 378,908 "," $ 392,990 ",103.72%,24,," $ 359,900 "," $ 367,000 ",101.97%,13,
3-Jan-22,Condos,29,32,61," $ 395,627 "," $ 413,392 ",104.49%,26,," $ 349,900 "," $ 394,000 ",112.60%,14,
10-Jan-22,Condos,54,23,40," $ 464,362 "," $ 466,346 ",100.43%,35,," $ 372,400 "," $ 376,750 ",101.17%,23,
17-Jan-22,Condos,49,31,58," $ 430,652 "," $ 449,542 ",104.39%,32,," $ 404,900 "," $ 437,050 ",107.94%,8,
24-Jan-22,Condos,55,23,81," $ 410,836 "," $ 438,772 ",106.80%,24,," $ 395,000 "," $ 420,000 ",106.33%,7,
31-Jan-22,Condos,50,26,63," $ 449,665 "," $ 476,700 ",106.01%,20,," $ 389,900 "," $ 435,000 ",111.57%,6,
2-Feb-22,Condos,183,21,60," $ 402,538 "," $ 442,035 ",109.81%,19,," $ 399,900 "," $ 460,500 ",115.15%,7,
14-Feb-22,Condos,53,20,95," $ 452,756 "," $ 490,764 ",108.39%,18,," $ 424,900 "," $ 500,000 ",117.67%,7,
21-Feb-22,Condos,72,12,75," $ 436,329 "," $ 469,829 ",107.68%,19,," $ 395,000 "," $ 425,000 ",107.59%,7,
28-Feb-22,Condos,92,19,68," $ 423,596 "," $ 474,710 ",112.07%,19,," $ 394,450 "," $ 447,500 ",113.45%,6,
7-Mar-22,Condos,111,14,99," $ 438,511 "," $ 487,200 ",111.10%,12,," $ 415,000 "," $ 481,000 ",115.90%,6,
14-Mar-22,Condos,91,17,109," $ 450,409 "," $ 496,794 ",110.30%,9,," $ 419,900 "," $ 475,499 ",113.24%,6,
21-Mar-22,Condos,98,18,100," $ 419,311 "," $ 466,778 ",111.32%,11,," $ 399,900 "," $ 460,751 ",115.22%,6,
