Date,Apartment,Apartment (old),Townhome,Stacked,Other,Total Condo
14-Mar-22,83,71,26,12,0,109
21-Mar-22,64,55,34,9,0,98
28-Mar-22,79,64,29,15,0,108
4-Apr-22,75,59,27,16,1,103
11-Apr-22,84,58,25,26,0,109
18-Apr-22,78,55,23,23,0,101
25-Apr-22,27,5,63,22,1,91
2-May-22,167,61,29,106,1,197
9-May-22,72,52,28,20,1,101
16-May-22,79,59,34,20,0,113
23-May-22,67,58,31,9,0,98
30-May-22,48,41,19,7,0,67
6-Jun-22,64,51,22,13,0,86
13-Jun-22,55,43,30,12,0,85
20-Jun-22,52,48,23,4,0,75
27-Jun-22,55,43,22,12,0,77
4-Jul-22,47,34,14,13,0,61
11-Jul-22,36,28,17,8,1,54
18-Jul-22,44,34,21,10,0,65
25-Jul-22,47,35,17,12,0,64
1-Aug-22,40,33,9,7,1,50
8-Aug-22,40,33,8,7,1,49
15-Aug-22,49,36,22,13,0,71
22-Aug-22,48,40,17,8,0,65
29-Aug-22,34,26,20,8,1,55
5-Sep-22,33,24,14,9,0,47
12-Sep-22,30,24,9,6,1,40
19-Sep-22,51,45,17,6,1,69
26-Sep-22,48,40,16,8,1,65
3-Oct-22,33,25,14,8,0,47
10-Oct-22,28,21,18,7,0,46
17-Oct-22,28,18,15,10,0,43
24-Oct-22,49,40,19,9,0,68
31-Oct-22,26,19,14,7,0,40
7-Nov-22,30,22,9,8,0,39
14-Nov-22,32,27,16,5,0,48
21-Nov-22,24,18,6,6,0,30
28-Nov-22,22,18,18,4,0,40
5-Dec-22,31,23,9,8,0,40
12-Dec-22,24,19,9,5,1,34
19-Dec-22,19,17,12,2,0,31
2-Jan-23,12,12,1,0,0,13
9-Jan-23,11,8,9,3,0,20
16-Jan-23,24,19,11,5,0,35
23-Jan-23,22,19,8,3,0,30
30-Jan-23,27,23,8,4,1,36
6-Feb-23,29,25,13,4,0,42
13-Feb-23,36,33,18,3,0,54
20-Feb-23,42,31,8,11,0,50
27-Feb-23,27,22,15,5,0,42
6-Mar-23,42,33,16,9,1,59
13-Mar-23,47,39,10,8,0,57
20-Mar-23,36,22,11,14,0,47
27-Mar-23,49,40,16,9,0,65
3-Apr-23,64,54,16,10,0,80
10-Apr-23,44,35,27,9,0,71
17-Apr-23,47,35,18,12,0,65
24-Apr-23,54,44,18,10,2,74
1-May-23,59,45,25,14,0,84
8-May-23,66,54,22,12,0,88
15-May-23,76,64,31,12,1,108
22-May-23,88,71,20,17,0,108
29-May-23,54,44,23,10,0,77
5-Jun-23,69,53,35,16,1,105
12-Jun-23,63,47,11,16,2,76
19-Jun-23,72,59,27,13,0,99
26-Jun-23,59,51,25,8,0,84
3-Jul-23,53,46,18,7,1,72
10-Jul-23,37,28,13,9,0,50
17-Jul-23,45,37,19,8,0,64
24-Jul-23,53,42,18,11,0,71
31-Jul-23,42,35,19,7,0,61
7-Aug-23,52,44,15,8,0,67
14-Aug-23,41,32,15,9,1,57
21-Aug-23,43,34,15,9,1,59
28-Aug-23,44,30,12,14,0,56
4-Sep-23,35,28,12,7,0,47
11-Sep-23,25,20,13,5,0,38
18-Sep-23,42,32,12,10,0,54
25-Sep-23,44,36,10,8,1,55
2-Oct-23,46,39,19,7,0,65
9-Oct-23,39,30,17,9,0,56
16-Oct-23,33,27,14,6,0,47
23-Oct-23,34,27,10,7,0,44
30-Oct-23,27,22,15,5,1,43
6-Nov-23,34,27,11,7,0,45
13-Nov-23,26,19,15,7,0,41
20-Nov-23,28,22,11,6,0,39
27-Nov-23,31,24,13,7,0,44
4-Dec-23,31,25,11,6,0,42
11-Dec-23,23,18,16,5,0,39
18-Dec-23,21,16,14,5,0,35
25-Dec-23,21,18,10,3,0,31
1-Jan-24,14,11,3,3,0,17
8-Jan-24,24,18,1,6,1,26
15-Jan-24,20,16,13,4,0,33
22-Jan-24,12,11,8,1,0,20
29-Jan-24,31,27,16,4,0,47
5-Feb-24,47,37,9,10,0,56
12-Feb-24,34,27,19,7,0,53
19-Feb-24,41,33,16,8,1,58
26-Feb-24,38,32,14,6,0,52
4-Mar-24,38,30,14,8,2,54
11-Mar-24,45,34,22,11,1,68
18-Mar-24,58,49,13,9,0,71
25-Mar-24,44,32,18,12,0,62
