Date,Property Type,No. Of Active Listings,No. Of Conditional Sales,No. Of Sold Properties, Average List Price , Average Sold Price ,Average List/Sold %,Average DOM,Average CDOM, Median List Price , Median Sold Price ,Median List/ Sold %,Median DOM,Median CDOM
13-Sep-21,Freehold,146,58,183," $ 746,492 "," $ 753,649 ",100.96%,18,," $ 650,000 "," $ 677,500 ",104.23%,10,
20-Sep-21,Freehold,146,58,183," $ 746,492 "," $ 753,649 ",100.96%,18,," $ 650,000 "," $ 677,500 ",104.23%,10,
27-Sep-21,Freehold,260,67,161," $ 746,857 "," $ 754,467 ",101.02%,19,," $ 649,900 "," $ 665,000 ",102.32%,10,
04-Oct-21,Freehold,275,59,234," $ 739,814 "," $ 754,004 ",101.92%,17,," $ 649,900 "," $ 676,250 ",104.05%,8,
11-Oct-21,Freehold,275,59,234," $ 739,814 "," $ 754,004 ",101.92%,17,," $ 649,900 "," $ 676,250 ",104.05%,8,
18-Oct-21,Freehold,224,65,201," $ 763,585 "," $ 782,641 ",102.50%,14,," $ 689,900 "," $ 700,000 ",101.46%,7,
25-Oct-21,Freehold,248,63,220," $ 748,257 "," $ 763,748 ",102.07%,17,," $ 674,900 "," $ 690,000 ",102.24%,8,
01-Nov-21,Freehold,181,67,210," $ 757,000 "," $ 772,118 ",102.00%,17,," $ 674,900 "," $ 691,226 ",102.42%,8,
08-Nov-21,Freehold,223,46,188," $ 742,937 "," $ 768,671 ",103.46%,16,," $ 694,390 "," $ 710,000 ",102.25%,8,
15-Nov-21,Freehold,198,53,224," $ 736,875 "," $ 753,135 ",102.21%,14,," $ 669,450 "," $ 685,000 ",102.32%,8,
22-Nov-21,Freehold,160,57,182," $ 766,525 "," $ 781,944 ",102.01%,18,," $ 689,900 "," $ 703,500 ",101.97%,8,
29-Nov-21,Freehold,148,67,197," $ 709,749 "," $ 733,548 ",103.35%,15,," $ 650,000 "," $ 680,000 ",104.62%,9,
06-Dec-21,Freehold,127,49,194," $ 734,398 "," $ 755,075 ",102.82%,14,," $ 649,900 "," $ 665,000 ",102.32%,8,
13-Dec-21,Freehold,128,38,147," $ 760,416 "," $ 788,135 ",103.65%,19,," $ 679,900 "," $ 701,500 ",103.18%,8,
20-Dec-21,Freehold,122,34,154," $ 790,966 "," $ 822,231 ",103.95%,19,," $ 687,900 "," $ 700,000 ",101.76%,8,
27-Dec-21,Freehold,68,26,105," $ 784,318 "," $ 813,374 ",103.70%,19,," $ 699,900 "," $ 726,000 ",103.73%,8,
03-Jan-22,Freehold,42,22,188," $ 773,642 "," $ 797,588 ",103.10%,17,," $ 699,900 "," $ 723,950 ",103.44%,9,
10-Jan-22,Freehold,57,15,62," $ 788,358 "," $ 813,705 ",103.22%,23,," $ 699,000 "," $ 761,000 ",108.87%,11,
17-Jan-22,Freehold,94,19,95," $ 715,230 "," $ 778,929 ",108.91%,16,," $ 674,900 "," $ 715,000 ",105.94%,5,
24-Jan-22,Freehold,105,16,100," $ 754,269 "," $ 832,451 ",110.37%,15,," $ 699,900 "," $ 773,000 ",110.44%,5,
31-Jan-22,Freehold,121,18,148," $ 806,502 "," $ 896,580 ",111.17%,13,," $ 699,900 "," $ 810,500 ",115.80%,5,
02-Feb-22,Freehold,174,9,147," $ 790,626 "," $ 887,450 ",112.25%,8,," $ 750,000 "," $ 840,000 ",112.00%,5,
14-Feb-22,Freehold,202,23,169," $ 835,147 "," $ 929,075 ",111.25%,10,," $ 750,000 "," $ 859,000 ",114.53%,5,
21-Feb-22,Freehold,214,14,217," $ 791,667 "," $ 892,890 ",112.79%,5,," $ 699,900 "," $ 808,000 ",115.45%,5,
28-Feb-22,Freehold,244,20,207," $ 786,100 "," $ 897,229 ",114.14%,6,," $ 699,900 "," $ 820,000 ",117.16%,6,
07-Mar-22,Freehold,286,15,254," $ 819,176 "," $ 906,430 ",110.65%,11,," $ 713,900 "," $ 820,000 ",114.86%,6,
14-Mar-22,Freehold,229,20,236," $ 839,366 "," $ 935,732 ",111.48%,8,," $ 749,900 "," $ 825,000 ",110.01%,6,
21-Mar-22,Freehold,254,22,196," $ 775,877 "," $ 867,466 ",111.80%,8,," $ 699,900 "," $ 799,500 ",114.23%,6,
28-Mar-22,Freehold,310,16,216," $ 830,783 "," $ 923,208 ",111.13%,10,," $ 750,000 "," $ 825,000 ",110.00%,6,
