Date,Detached,Row ,Semi,Total - Freehold
14-Mar-22,136,77,23,236
21-Mar-22,122,52,22,196
28-Mar-22,128,73,15,216
4-Apr-22,200,79,14,293
11-Apr-22,141,60,24,225
18-Apr-22,123,71,17,211
25-Apr-22,128,57,20,205
2-May-22,183,79,15,277
9-May-22,134,77,24,235
16-May-22,150,54,24,228
23-May-22,161,68,23,252
30-May-22,95,51,18,164
6-Jun-22,112,55,12,179
13-Jun-22,128,62,21,211
20-Jun-22,101,55,22,178
27-Jun-22,110,42,17,169
4-Jul-22,81,34,12,127
11-Jul-22,85,52,10,147
18-Jul-22,82,42,8,132
25-Jul-22,89,43,10,142
1-Aug-22,59,45,14,118
8-Aug-22,64,39,8,111
15-Aug-22,88,53,12,153
22-Aug-22,88,38,7,133
29-Aug-22,90,43,6,139
5-Sep-22,82,37,9,128
12-Sep-22,64,34,11,109
19-Sep-22,90,32,13,135
26-Sep-22,78,50,8,136
3-Oct-22,75,51,12,138
10-Oct-22,71,44,21,136
17-Oct-22,69,39,6,114
24-Oct-22,64,37,10,111
31-Oct-22,74,39,15,128
7-Nov-22,77,32,6,115
14-Nov-22,62,25,15,102
21-Nov-22,77,39,6,122
28-Nov-22,64,26,5,95
5-Dec-22,62,35,11,108
12-Dec-22,40,34,10,84
19-Dec-22,54,29,6,89
2-Jan-23,16,10,2,28
9-Jan-23,20,17,3,40
16-Jan-23,49,20,5,74
23-Jan-23,54,31,7,92
30-Jan-23,58,36,10,104
6-Feb-23,61,38,5,104
13-Feb-23,69,32,6,107
20-Feb-23,82,40,6,128
27-Feb-23,53,37,9,99
6-Mar-23,74,43,9,126
13-Mar-23,94,36,10,140
20-Mar-23,84,39,13,136
27-Mar-23,76,53,12,141
3-Apr-23,93,62,21,176
10-Apr-23,112,56,12,180
17-Apr-23,115,54,21,190
24-Apr-23,129,69,19,217
1-May-23,137,81,16,234
8-May-23,148,73,15,236
15-May-23,155,74,17,246
22-May-23,149,73,22,244
29-May-23,127,53,25,205
5-Jun-23,128,53,21,202
12-Jun-23,128,64,8,200
19-Jun-23,108,65,24,197
26-Jun-23,104,76,18,198
3-Jul-23,83,57,13,153
10-Jul-23,86,41,5,132
17-Jul-23,100,45,17,162
24-Jul-23,98,50,18,166
31-Jul-23,104,48,12,164
7-Aug-23,84,56,11,151
14-Aug-23,69,40,18,127
21-Aug-23,85,42,9,136
28-Aug-23,60,45,11,116
4-Sep-23,70,28,13,111
11-Sep-23,61,22,11,94
18-Sep-23,90,37,15,142
25-Sep-23,95,55,14,164
2-Oct-23,90,38,9,137
9-Oct-23,69,36,12,117
16-Oct-23,56,35,14,105
23-Oct-23,65,29,5,99
30-Oct-23,77,33,11,121
6-Nov-23,59,22,11,92
13-Nov-23,73,29,13,115
20-Nov-23,59,36,8,103
27-Nov-23,58,30,10,98
4-Dec-23,66,32,9,107
11-Dec-23,65,20,7,92
18-Dec-23,49,23,8,80
25-Dec-23,51,35,7,93
1-Jan-24,24,11,4,39
8-Jan-24,33,14,4,51
15-Jan-24,45,28,15,88
22-Jan-24,43,32,8,83
29-Jan-24,76,40,6,122
5-Feb-24,59,35,12,106
12-Feb-24,68,41,11,120
19-Feb-24,94,49,7,150
26-Feb-24,69,30,9,108
4-Mar-24,95,51,9,155
11-Mar-24,97,48,17,162
18-Mar-24,83,56,8,147
25-Mar-24,99,39,17,155
1-Apr-24,102,61,6,169
8-Apr-24,103,65,11,179
15-Apr-24,138,60,21,219
22-Apr-24,134,69,22,225
29-Apr-24,130,53,28,211
6-May-24,139,66,19,224
13-May-24,130,64,10,204
20-May-24,145,55,17,217
