fsa,characteristic_id,characteristic_name,count_total,rate_total
A0A,1,"Population, 2021",44930.0,
A0A,8,Total - Age groups of the population - 100% data,44930.0,100.0
A0A,9,  0 to 14 years,5825.0,13.0
A0A,13,  15 to 64 years,27390.0,61.0
A0A,24,  65 years and over,11720.0,26.1
A0A,25,    65 to 69 years,4110.0,9.1
A0A,26,    70 to 74 years,3575.0,8.0
A0A,27,    75 to 79 years,2145.0,4.8
A0A,28,    80 to 84 years,1130.0,2.5
A0A,29,    85 years and over,760.0,1.7
A0A,30,      85 to 89 years,530.0,1.2
A0A,40,Median age of the population,51.6,51.6
A0A,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,44880.0,100.0
A0A,386,  English and French,1060.0,2.4
A0A,1414,Total - Private households by tenure - 25% sample data,19745.0,100.0
A0A,1415,  Owner,16980.0,86.0
A0A,1416,  Renter,2770.0,14.0
A0A,1486,  Median monthly shelter costs for owned dwellings ($),572.0,572.0
A0A,1488,  Median value of dwellings ($),200000.0,200000.0
A0A,1494,  Median monthly shelter costs for rented dwellings ($),800.0,800.0
A0A,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",38865.0,100.0
A0A,1999,"  No certificate, diploma or degree",8520.0,21.9
A0A,2000,  High (secondary) school diploma or equivalency certificate,11030.0,28.4
A0A,2001,"  Postsecondary certificate, diploma or degree",19315.0,49.7
A0A,2002,    Postsecondary certificate or diploma below bachelor level,15215.0,39.1
A0A,2008,    Bachelor's degree or higher,4100.0,10.5
A0A,2009,      Bachelor's degree,2850.0,7.3
A0A,2012,      Master's degree,890.0,2.3
A0A,2013,      Earned doctorate,80.0,0.2
A0B,1,"Population, 2021",19287.0,
A0B,8,Total - Age groups of the population - 100% data,19285.0,100.0
A0B,9,  0 to 14 years,1945.0,10.1
A0B,13,  15 to 64 years,10910.0,56.6
A0B,24,  65 years and over,6430.0,33.3
A0B,25,    65 to 69 years,2190.0,11.4
A0B,26,    70 to 74 years,1935.0,10.0
A0B,27,    75 to 79 years,1230.0,6.4
A0B,28,    80 to 84 years,630.0,3.3
A0B,29,    85 years and over,435.0,2.3
A0B,30,      85 to 89 years,290.0,1.5
A0B,40,Median age of the population,57.2,57.2
A0B,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,19140.0,100.0
A0B,386,  English and French,400.0,2.1
A0B,1414,Total - Private households by tenure - 25% sample data,9130.0,100.0
A0B,1415,  Owner,8120.0,88.9
A0B,1416,  Renter,1015.0,11.1
A0B,1486,  Median monthly shelter costs for owned dwellings ($),420.0,420.0
A0B,1488,  Median value of dwellings ($),150000.0,150000.0
A0B,1494,  Median monthly shelter costs for rented dwellings ($),700.0,700.0
A0B,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",17175.0,100.0
A0B,1999,"  No certificate, diploma or degree",4200.0,24.5
A0B,2000,  High (secondary) school diploma or equivalency certificate,4975.0,29.0
A0B,2001,"  Postsecondary certificate, diploma or degree",8000.0,46.6
A0B,2002,    Postsecondary certificate or diploma below bachelor level,6700.0,39.0
A0B,2008,    Bachelor's degree or higher,1300.0,7.6
A0B,2009,      Bachelor's degree,860.0,5.0
A0B,2012,      Master's degree,295.0,1.7
A0B,2013,      Earned doctorate,40.0,0.2
A0C,1,"Population, 2021",11972.0,
A0C,8,Total - Age groups of the population - 100% data,11970.0,100.0
A0C,9,  0 to 14 years,1190.0,9.9
A0C,13,  15 to 64 years,6995.0,58.4
A0C,24,  65 years and over,3790.0,31.7
A0C,25,    65 to 69 years,1305.0,10.9
A0C,26,    70 to 74 years,1095.0,9.1
A0C,27,    75 to 79 years,685.0,5.7
A0C,28,    80 to 84 years,385.0,3.2
A0C,29,    85 years and over,320.0,2.7
A0C,30,      85 to 89 years,200.0,1.7
A0C,40,Median age of the population,56.4,56.4
A0C,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,11850.0,100.0
A0C,386,  English and French,170.0,1.4
A0C,1414,Total - Private households by tenure - 25% sample data,5645.0,100.0
A0C,1415,  Owner,4885.0,86.5
A0C,1416,  Renter,760.0,13.5
A0C,1486,  Median monthly shelter costs for owned dwellings ($),388.0,388.0
