FSA,Bracket,Number
A0A,"Under $5,000",2550
A0A,"$5,000 to $9,999",2350
A0A,"$10,000 to $14,999",3610
A0A,"$15,000 to $19,999",4580
A0A,"$20,000 to $24,999",3970
A0A,"$25,000 to $29,999",2700
A0A,"$30,000 to $34,999",2500
A0A,"$35,000 to $39,999",2400
A0A,"$40,000 to $44,999",2040
A0A,"$45,000 to $49,999",1850
A0A,"$50,000 to $54,999",1450
A0A,"$55,000 to $59,999",1290
A0A,"$60,000 to $69,999",1900
A0A,"$70,000 to $79,999",1470
A0A,"$80,000 to $89,999",1040
A0A,"$90,000 to $99,999",830
A0A,"$100,000 to $149,999",2240
A0A,"$150,000 to $249,999",780
A0A,"$250,000 and over",150
A0B,"Under $5,000",1020
A0B,"$5,000 to $9,999",920
A0B,"$10,000 to $14,999",1580
A0B,"$15,000 to $19,999",2170
A0B,"$20,000 to $24,999",1880
A0B,"$25,000 to $29,999",1360
A0B,"$30,000 to $34,999",1150
A0B,"$35,000 to $39,999",1120
A0B,"$40,000 to $44,999",900
A0B,"$45,000 to $49,999",820
A0B,"$50,000 to $54,999",620
A0B,"$55,000 to $59,999",530
A0B,"$60,000 to $69,999",770
A0B,"$70,000 to $79,999",560
A0B,"$80,000 to $89,999",430
A0B,"$90,000 to $99,999",350
A0B,"$100,000 to $149,999",880
A0B,"$150,000 to $249,999",310
A0B,"$250,000 and over",60
A0C,"Under $5,000",630
A0C,"$5,000 to $9,999",610
A0C,"$10,000 to $14,999",1120
A0C,"$15,000 to $19,999",1500
A0C,"$20,000 to $24,999",1320
A0C,"$25,000 to $29,999",910
A0C,"$30,000 to $34,999",790
A0C,"$35,000 to $39,999",750
A0C,"$40,000 to $44,999",610
A0C,"$45,000 to $49,999",500
A0C,"$50,000 to $54,999",380
A0C,"$55,000 to $59,999",310
A0C,"$60,000 to $69,999",400
A0C,"$70,000 to $79,999",260
A0C,"$80,000 to $89,999",170
A0C,"$90,000 to $99,999",130
A0C,"$100,000 to $149,999",360
A0C,"$150,000 to $249,999",80
A0C,"$250,000 and over",10
A0E,"Under $5,000",1200
A0E,"$5,000 to $9,999",1160
A0E,"$10,000 to $14,999",1900
A0E,"$15,000 to $19,999",2360
A0E,"$20,000 to $24,999",2320
A0E,"$25,000 to $29,999",1330
A0E,"$30,000 to $34,999",1170
A0E,"$35,000 to $39,999",1050
A0E,"$40,000 to $44,999",950
A0E,"$45,000 to $49,999",780
A0E,"$50,000 to $54,999",600
A0E,"$55,000 to $59,999",560
A0E,"$60,000 to $69,999",920
A0E,"$70,000 to $79,999",640
A0E,"$80,000 to $89,999",520
