Date,Suspended,Terminated,Expired
3-Nov-25,10,214,126
10-Nov-25,18,282,56
17-Nov-25,9,175,44
24-Nov-25,5,216,44
1-Dec-25,9,166,157
8-Dec-25,8,176,44
15-Dec-25,7,147,63
22-Dec-25,16,161,107
29-Dec-25,16,86,30
5-Jan-26,5,148,403
12-Jan-26,7,141,53
19-Jan-26,8,204,66
26-Jan-26,5,119,30
2-Feb-26,119,9,107
9-Feb-26,12,111,20
16-Feb-26,8,66,29
23-Feb-26,9,15,108
2-Mar-26,6,135,82
9-Mar-26,7,130,20
16-Mar-26,7,113,18
23-Mar-26,2,101,23
30-Mar-26,6,135,18
6-Apr-26,8,149,87
13-Apr-26,9,198,24
20-Apr-26,9,174,13
27-Apr-26,14,213,18
4-May-26,9,223,88
11-May-26,12,252,19
18-May-26,9,201,24
25-May-26,7,235,22
1-Jun-26,14,251,77
