,Freehold Sales (Occupancy Type),,,,Condo Sales (Occupancy Type),,,
Date,Owner,Tenant,Vacant,Total,Owner,Tenant,Vacant,Total
27-Nov-23,56,3,39,98,20,1,23,44
4-Dec-23,61,1,45,107,18,2,22,42
11-Dec-23,59,4,29,92,18,5,16,39
18-Dec-23,44,2,34,80,20,1,14,35
25-Dec-23,45,3,45,93,8,4,,12
1-Jan-24,23,1,15,39,5,1,11,17
8-Jan-24,21,1,29,51,8,4,14,26
15-Jan-24,37,3,48,88,11,2,20,33
22-Jan-24,44,3,36,83,8,2,10,20
29-Jan-24,62,6,54,122,20,3,24,47
5-Feb-24,59,7,40,106,24,5,27,56
12-Feb-24,71,4,45,120,26,5,22,53
19-Feb-24,89,8,53,150,25,3,30,58
26-Feb-24,67,11,30,108,20,7,25,52
4-Mar-24,109,3,43,155,25,6,23,54
11-Mar-24,108,4,50,162,33,5,30,68
18-Mar-24,94,6,47,147,37,7,27,71
25-Mar-24,90,10,55,155,33,9,20,62
1-Apr-24,104,9,56,169,26,15,31,72
8-Apr-24,117,17,45,179,36,7,25,68
15-Apr-24,147,1,71,219,45,15,26,86
22-Apr-24,142,13,70,225,42,12,34,88
29-Apr-24,156,8,47,211,35,8,28,71
6-May-24,170,11,43,224,36,7,26,69
13-May-24,145,9,50,204,37,5,44,86
20-May-24,154,10,53,217,47,9,32,88
27-May-24,127,7,47,181,45,7,20,72
3-Jun-24,147,12,53,212,52,13,37,102
10-Jun-24,163,14,60,237,35,11,30,76
17-Jun-24,171,8,54,233,43,10,39,92
24-Jun-24,133,11,55,199,45,8,33,86
1-Jul-24,135,12,61,208,35,11,29,75
8-Jul-24,84,5,33,122,31,6,27,64
15-Jul-24,134,9,60,203,31,3,24,58
22-Jul-24,104,7,42,153,28,13,25,66
29-Jul-24,123,7,52,182,41,9,23,73
5-Aug-24,110,5,50,165,33,7,19,59
12-Aug-24,108,6,38,152,17,2,24,43
19-Aug-24,82,5,54,141,38,7,32,77
