,Freehold Sales,,,,,,,Condo Sales,,,,,,
Date,$0 - $249K,$250K - $499K,$500K - $749K,$750K - $999k,$1M - $1.999M,$2M+,Total,$0 - $249K,$250K - $499K,$500K - $749K,$750K - $999k,$1M - $1.999M,$2M+,Total
27-Nov-23,0,7,55,23,13,0,98,0,38,5,0,1,0,44
4-Dec-2023,0,5,64,24,14,0,107,2,32,7,1,0,0,42
11-Dec-2023,0,7,44,31,10,0,92,1,34,4,0,0,0,39
18-Dec-23,1,8,51,15,5,0,80,0,27,7,0,1,0,35
25-Dec-2023,0,6,60,18,9,0,93,1,24,4,1,1,0,31
1-Jan-2024,0,1,25,10,3,0,39,0,14,1,0,2,0,17
8-Jan-24,0,4,26,12,9,0,51,2,19,5,0,0,0,26
15-Jan-2024,1,8,55,14,10,0,88,0,29,3,0,1,0,33
22-Jan-2024,0,2,57,14,10,0,83,0,17,2,1,0,0,20
29-Jan-24,0,4,75,29,14,0,122,0,38,8,1,0,0,47
5-Feb-2024,0,6,67,24,9,0,106,0,47,5,3,1,0,56
12-Feb-2024,0,4,73,32,11,0,120,1,46,6,0,0,0,53
19-Feb-24,0,6,88,42,14,0,150,0,49,7,1,1,0,58
26-Feb-2024,0,4,57,30,17,0,108,0,41,7,2,2,0,52
4-Mar-2024,0,7,79,44,25,0,155,0,44,8,2,0,0,54
11-Mar-24,0,4,77,52,29,0,162,0,54,11,2,1,0,68
18-Mar-2024,0,3,77,45,22,0,147,1,46,17,6,1,0,71
25-Mar-2024,0,7,85,35,28,0,155,0,55,5,1,1,0,62
1-Apr-24,0,6,103,44,16,0,169,2,54,13,3,0,0,72
8-Apr-2024,0,2,106,49,22,0,179,1,49,17,1,0,0,68
15-Apr-2024,1,4,106,78,30,0,219,1,64,18,3,0,0,86
22-Apr-24,0,6,118,56,45,0,225,1,73,9,4,1,0,88
29-Apr-2024,0,4,91,76,40,0,211,0,55,14,2,0,0,71
6-May-2024,0,4,125,69,26,0,224,0,50,16,3,0,0,69
13-May-24,3,6,106,54,35,0,204,0,62,18,4,2,0,86
20-May-2024,0,8,104,76,29,0,217,2,64,16,4,2,0,88
27-May-2024,1,5,86,58,31,0,181,1,56,11,0,4,0,72
3-Jun-24,0,7,109,57,39,0,212,0,73,26,2,1,0,102
10-Jun-2024,0,5,121,74,37,0,237,0,65,5,4,2,0,76
