Date,Freehold Rental,No. Of Active Listings,No. Of Rented Properties,Average List Price,Average Rent Prices,Average List/Rent %,Average DOM,Average CDOM,Median List Price,Median Rent Price,Median List/ Rent %,Median DOM,Median CDOM
5-May-25,Freehold Rental,92,65,"$2,942","$2,933",99.69%,24,51,"$2,700","$2,700",100.00%,17,34
12-May-25,Freehold Rental,116,65,"$2,855","$2,848",99.75%,24,39,"$2,700","$2,750",101.85%,14,26
19-May-25,Freehold Rental,107,73,"$2,821","$2,819",99.93%,26,,"$2,700","$2,750",101.85%,12,25
26-May-25,Freehold Rental,83,86,"$2,996","$3,018",100.73%,22,,"$2,750","$2,758",100.29%,14,28
2-Jun-25,Freehold Rental,109,82,"$2,966","$2,974",100.27%,21,,"$2,763","$2,750",99.53%,17,28
9-Jun-25,Freehold Rental,133,61,"$2,869","$2,892",100.80%,20,,"$2,750","$2,750",100.00%,12,20
16-Jun-25,Freehold Rental,137,87,"$2,967","$2,965",99.93%,21,,"$2,750","$2,750",100.00%,13,19
23-Jun-25,Freehold Rental,121,96,"$2,901","$2,926",100.86%,22,,"$2,725","$2,750",100.92%,14,21
30-Jun-25,Freehold Rental,121,86,"$2,847","$2,856",100.32%,29,,"$2,790","$2,763",99.03%,17,21
7-Jul-25,Freehold Rental,103,66,"$3,062","$3,064",100.07%,24,,"$2,888","$2,850",98.68%,15,23
14-Jul-25,Freehold Rental,143,97,"$2,871","$2,887",100.56%,22,,"$2,750","$2,750",100.00%,18,14
21-Jul-25,Freehold Rental,133,102,"$2,911","$2,907",99.86%,24,,"$2,800","$2,800",100.00%,16,20
28-Jul-25,Freehold Rental,119,90,"$2,913","$2,912",99.97%,23,,"$2,750","$2,750",100.00%,13,16
4-Aug-25,Freehold Rental,118,80,"$2,868","$2,875",100.24%,25,,"$2,700","$2,700",100.00%,20,18
11-Aug-25,Freehold Rental,136,78,"$3,006","$3,019",100.43%,26,,"$2,800","$2,800",100.00%,21,9
18-Aug-25,Freehold Rental,135,83,"$2,865","$2,859",99.79%,23,,"$2,750","$2,750",100.00%,14,8
25-Aug-25,Freehold Rental,104,74,"$2,951","$2,941",99.66%,24,,"$2,800","$2,800",100.00%,15,11
1-Sep-25,Freehold Rental,98,87,"$2,926","$2,918",99.73%,32,,"$2,750","$2,750",100.00%,20,12
8-Sep-25,Freehold Rental,128,57,"$2,831","$2,868",101.31%,25,,"$2,799","$2,800",100.04%,20,14
15-Sep-25,Freehold Rental,131,68,"$2,636","$2,645",100.34%,32,,"$2,663","$2,650",99.51%,20,10
22-Sep-25,Freehold Rental,130,63,"$2,853","$2,837",99.44%,31,,"$2,750","$2,700",98.18%,25,14
29-Sep-25,Freehold Rental,126,79,"$2,877","$2,862",99.48%,27,,"$2,700","$2,700",100.00%,18,10
6-Oct-25,Freehold Rental,142,84,"$2,853","$2,850",99.89%,26,,"$2,700","$2,700",100.00%,24,14
13-Oct-25,Freehold Rental,141,77,"$2,784","$2,780",99.86%,26,,"$2,700","$2,700",100.00%,15,13
20-Oct-25,Freehold Rental,114,55,"$2,877","$2,825",98.19%,36,,"$2,600","$2,600",100.00%,23,12
27-Oct-25,Freehold Rental,137,51,"$2,809","$2,821",100.43%,27,,"$2,695","$2,690",99.81%,19,11
3-Nov-25,Freehold Rental,112,72,"$2,888","$2,863",99.13%,27,,"$2,700","$2,700",100.00%,23,11
10-Nov-25,Freehold Rental,146,46,"$2,792","$2,765",99.03%,27,,"$2,665","$2,650",99.44%,22,10
17-Nov-25,Freehold Rental,114,75,"$2,739","$2,745",100.22%,33,,"$2,650","$2,650",100.00%,28,14
24-Nov-25,Freehold Rental,112,61,"$2,809","$2,812",100.11%,40,,"$2,650","$2,605",98.30%,40,13
1-Dec-25,Freehold Rental,96,58,"$2,612","$2,604",99.69%,33,,"$2,600","$2,575",99.04%,27,12
8-Dec-25,Freehold Rental,123,60,"$2,734","$2,720",99.49%,35,,"$2,600","$2,600",100.00%,29,13
15-Dec-25,Freehold Rental,108,47,"$2,694","$2,685",99.67%,28,,"$2,600","$2,600",100.00%,23,14
22-Dec-25,Freehold Rental,84,61,"$2,644","$2,630",99.47%,32,,"$2,600","$2,634",101.31%,29,16
29-Dec-25,Freehold Rental,46,49,"$2,584","$2,559",99.03%,37,,"$2,595","$2,550",98.27%,28,15
5-Jan-26,Freehold Rental,60,42,"$2,839","$2,846",100.25%,44,,"$2,700","$2,700",100.00%,38,15
12-Jan-26,Freehold Rental,141,61,"$2,644","$2,627",99.36%,50,,"$2,600","$2,600",100.00%,47,16
19-Jan-26,Freehold Rental,115,69,"$2,787","$2,779",99.71%,35,,"$2,650","$2,650",100.00%,34,14
26-Jan-26,Freehold Rental,84,89,"$2,703","$2,690",99.52%,36,,"$2,650","$2,650",100.00%,29,15
2-Feb-26,Freehold Rental,92,83,"$2,515","$2,520",100.20%,39,,"$2,600","$2,600",100.00%,23,15
9-Feb-26,Freehold Rental,109,73,"$2,826","$2,824",99.93%,29,,"$2,650","$2,650",100.00%,22,18
16-Feb-26,Freehold Rental,78,63,"$2,626","$2,619",99.73%,40,,"$2,550","$2,600",101.96%,22,20
23-Feb-26,Freehold Rental,105,63,"$2,764","$2,755",99.67%,47,,"$2,650","$2,650",100.00%,31,19
2-Mar-26,Freehold Rental,107,97,"$2,741","$2,720",99.23%,41,,"$2,680","$2,675",99.81%,29,19
9-Mar-26,Freehold Rental,123,72,"$2,897","$2,885",99.59%,35,,"$2,700","$2,700",100.00%,25,22
16-Mar-26,Freehold Rental,120,83,"$2,788","$2,772",99.43%,32,,"$2,700","$2,700",100.00%,23,21
23-Mar-26,Freehold Rental,99,48,"$2,834","$2,841",100.25%,27,,"$2,700","$2,700",100.00%,15,21
30-Mar-26,Freehold Rental,92,78,"$2,734","$2,726",99.71%,35,,"$2,650","$2,650",100.00%,25,23
6-Apr-26,Freehold Rental,104,62,"$2,733","$2,739",100.22%,30,,"$2,625","$2,663",101.45%,23,31
13-Apr-26,Freehold Rental,118,76,"$2,780","$2,780",100.00%,33,,"$2,790","$2,790",100.00%,24,31
20-Apr-26,Freehold Rental,108,81,"$2,894","$2,882",99.59%,26,,"$2,650","$2,700",101.89%,17,34
27-Apr-26,Freehold Rental,94,96,"$2,794","$2,794",100.00%,24,,"$2,600","$2,650",101.92%,14,26
4-May-26,Freehold Rental,118,90,"$2,683","$2,698",100.56%,26,,"$2,665","$2,700",101.31%,16,43
11-May-26,Freehold Rental,148,80,"$2,692","$2,695",100.11%,29,,"$2,650","$2,650",100.00%,16,20
18-May-26,Freehold Rental,117,91,"$2,770","$2,776",100.22%,22,,"$2,700","$2,700",100.00%,12,22
25-May-26,Freehold Rental,118,88,"$2,790","$2,813",100.82%,22,,"$2,795","$2,798",100.11%,13,23
