5,Apartment,Detached,Row,Total
5-May-25,26,0,7,33
12-May-25,36,0,5,41
19-May-25,41,0,8,49
26-May-25,39,0,10,49
2-Jun-25,30,0,9,39
9-Jun-25,31,0,18,49
16-Jun-25,33,0,7,40
23-Jun-25,30,0,11,41
30-Jun-25,28,0,11,39
7-Jul-25,30,0,7,37
14-Jul-25,32,0,6,38
21-Jul-25,41,0,10,51
28-Jul-25,31,0,8,39
4-Aug-25,32,0,6,38
11-Aug-25,33,0,9,42
18-Aug-25,33,0,9,42
25-Aug-25,36,0,10,46
1-Sep-25,30,0,12,42
8-Sep-25,21,0,4,25
15-Sep-25,19,0,4,23
22-Sep-25,30,0,7,37
29-Sep-25,32,0,11,43
6-Oct-25,25,0,9,34
13-Oct-25,21,0,7,28
20-Oct-25,17,0,8,25
27-Oct-25,29,0,7,36
3-Nov-25,15,0,9,24
10-Nov-25,28,0,9,37
17-Nov-25,25,0,7,32
24-Nov-25,23,0,9,32
1-Dec-25,20,0,13,33
8-Dec-25,22,0,8,30
15-Dec-25,23,0,14,37
22-Dec-25,31,0,13,44
29-Dec-25,14,0,10,24
5-Jan-26,9,4,0,13
12-Jan-26,27,0,13,40
19-Jan-26,24,0,9,33
26-Jan-26,32,0,12,44
2-Feb-26,30,0,15,45
9-Feb-26,26,0,8,34
16-Feb-26,23,0,11,34
23-Feb-26,33,0,20,53
2-Mar-26,37,0,10,47
9-Mar-26,25,0,10,35
16-Mar-26,25,2,14,41
23-Mar-26,34,0,5,39
30-Mar-26,47,2,7,56
6-Apr-26,31,1,7,39
13-Apr-26,28,1,8,37
20-Apr-26,36,0,7,43
27-Apr-26,37,0,10,47
4-May-26,31,2,10,43
11-May-26,44,0,12,56
18-May-26,27,0,13,40
25-May-26,33,2,19,54
1-Jun-26,32,0,15,47
8-Jun-26,42,0,15,57
15-Jun-26,37,1,16,54
22-Jun-26,52,1,11,64
29-Jun-26,45,1,8,54
6-Jul-26,32,2,10,44
13-Jul-26,40,2,7,49
20-Jul-26,39,1,7,47
