Date,Detached,Row ,Semi,Total
5-May-25,38,25,2,65
12-May-25,27,36,2,65
19-May-25,38,31,4,73
26-May-25,38,41,7,86
2-Jun-25,32,44,6,82
9-Jun-25,33,27,1,61
16-Jun-25,44,38,5,87
23-Jun-25,45,43,8,96
30-Jun-25,37,47,2,86
7-Jul-25,28,34,4,66
14-Jul-25,53,35,9,97
21-Jul-25,39,53,10,102
28-Jul-25,48,36,6,90
4-Aug-25,37,36,7,80
11-Aug-25,44,32,2,78
18-Aug-25,36,43,4,83
25-Aug-25,33,38,3,74
1-Sep-25,47,36,4,87
8-Sep-25,25,27,5,57
15-Sep-25,29,33,6,68
22-Sep-25,26,32,5,63
29-Sep-25,38,38,3,79
6-Oct-25,47,33,4,84
13-Oct-25,32,37,8,77
20-Oct-25,36,16,3,55
27-Oct-25,20,30,1,51
3-Nov-25,31,36,5,72
10-Nov-25,20,22,4,46
17-Nov-25,41,28,6,75
24-Nov-25,26,29,6,61
1-Dec-25,28,27,3,58
8-Dec-25,26,29,5,60
15-Dec-25,23,21,3,47
22-Dec-25,24,33,4,61
29-Dec-25,20,26,3,49
5-Jan-26,20,18,4,42
12-Jan-26,27,30,4,61
19-Jan-26,28,34,7,69
26-Jan-26,31,55,3,89
2-Feb-26,43,35,5,83
9-Feb-26,35,33,5,73
16-Feb-26,32,27,4,63
23-Feb-26,31,27,5,63
2-Mar-26,44,47,6,97
9-Mar-26,33,35,4,72
16-Mar-26,43,36,4,83
23-Mar-26,16,26,6,48
30-Mar-26,41,29,8,78
6-Apr-26,29,28,5,62
13-Apr-26,47,27,2,76
20-Apr-26,38,37,6,81
27-Apr-26,53,38,5,96
4-May-26,45,43,2,90
11-May-26,31,49,0,80
18-May-26,43,43,5,91
25-May-26,41,37,10,88
1-Jun-26,53,40,9,102
8-Jun-26,50,37,6,93
